FFT von Position, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,0000	3,4546
0,0782	0,0259
0,1563	0,0303
0,2345	0,0403
0,3127	0,0628
0,3908	0,1251
0,4690	1,0000
0,5472	0,1220
0,6254	0,0684
0,7035	0,0492
0,7817	0,0391
0,8599	0,0331
0,9380	0,0333
1,0162	0,0276
1,0944	0,0249
1,1725	0,0234
1,2507	0,0220
1,3289	0,0209
1,4070	0,0211
1,4852	0,0195
1,5634	0,0188
1,6415	0,0180
1,7197	0,0170
1,7979	0,0149
1,8761	0,0213
1,9542	0,0182
2,0324	0,0175
2,1106	0,0173
2,1887	0,0167
2,2669	0,0165
2,3451	0,0170
2,4232	0,0164
2,5014	0,0162
2,5796	0,0161
2,6577	0,0156
2,7359	0,0148
2,8141	0,0165
2,8922	0,0159
2,9704	0,0157
3,0486	0,0156
3,1268	0,0152
3,2049	0,0139
3,2831	0,0158
3,3613	0,0155
3,4394	0,0153
3,5176	0,0154
3,5958	0,0151
3,6739	0,0153
3,7521	0,0152
3,8303	0,0152
3,9084	0,0152
3,9866	0,0152
4,0648	0,0151
4,1429	0,0136
4,2211	0,0150
4,2993	0,0148
4,3775	0,0149
4,4556	0,0151
4,5338	0,0147
4,6120	0,0148
4,6901	0,0148
4,7683	0,0148
4,8465	0,0148
4,9246	0,0150
5,0028	0,0148
5,0810	0,0144
5,1591	0,0146
5,2373	0,0147
5,3155	0,0147
5,3936	0,0148
5,4718	0,0148
5,5500	0,0143
5,6282	0,0144
5,7063	0,0145
5,7845	0,0144
5,8627	0,0145
5,9408	0,0143
6,0190	0,0146
6,0972	0,0145
6,1753	0,0145
6,2535	0,0146
6,3317	0,0148
6,4098	0,0149
6,4880	0,0143
6,5662	0,0144
6,6443	0,0145
6,7225	0,0144
6,8007	0,0145
6,8789	0,0141
6,9570	0,0146
7,0352	0,0144
7,1134	0,0144
7,1915	0,0145
7,2697	0,0144
7,3479	0,0145
7,4260	0,0145
7,5042	0,0143
7,5824	0,0144
7,6605	0,0144
7,7387	0,0146
7,8169	0,0144
7,8950	0,0146
7,9732	0,0144
8,0514	0,0145
8,1296	0,0144
8,2077	0,0144
8,2859	0,0139
8,3641	0,0144
8,4422	0,0142
8,5204	0,0142
8,5986	0,0143
8,6767	0,0143
8,7549	0,0144
8,8331	0,0145
8,9112	0,0144
8,9894	0,0144
9,0676	0,0145
9,1457	0,0146
9,2239	0,0139
9,3021	0,0144
9,3803	0,0143
9,4584	0,0144
9,5366	0,0144
9,6148	0,0143
9,6929	0,0142
9,7711	0,0144
9,8493	0,0142
9,9274	0,0142
10,0056	0,0143
10,0838	0,0143
10,1619	0,0140
10,2401	0,0143
10,3183	0,0143
10,3964	0,0143
10,4746	0,0145
10,5528	0,0146
10,6310	0,0141
10,7091	0,0143
10,7873	0,0143
10,8655	0,0142
10,9436	0,0144
11,0218	0,0141
11,1000	0,0142
11,1781	0,0143
11,2563	0,0141
11,3345	0,0141
11,4126	0,0144
11,4908	0,0146
11,5690	0,0141
11,6471	0,0142
11,7253	0,0143
11,8035	0,0141
11,8817	0,0144
11,9598	0,0143
12,0380	0,0143
12,1162	0,0143
12,1943	0,0143
12,2725	0,0142
12,3507	0,0143
12,4288	0,0143
12,5070	0,0142
12,5852	0,0142
12,6633	0,0142
12,7415	0,0141
12,8197	0,0142
12,8978	0,0144
12,9760	0,0144
13,0542	0,0142
13,1324	0,0143
13,2105	0,0143
13,2887	0,0144
13,3669	0,0142
13,4450	0,0144
13,5232	0,0142
13,6014	0,0142
13,6795	0,0142
13,7577	0,0141
13,8359	0,0143
13,9140	0,0143
13,9922	0,0142
14,0704	0,0143
14,1485	0,0142
14,2267	0,0143
14,3049	0,0141
14,3831	0,0144
14,4612	0,0143
14,5394	0,0143
14,6176	0,0143
14,6957	0,0142
14,7739	0,0143
14,8521	0,0143
14,9302	0,0143
15,0084	0,0142
15,0866	0,0143
15,1647	0,0141
15,2429	0,0141
15,3211	0,0142
15,3992	0,0141
15,4774	0,0142
15,5556	0,0143
15,6338	0,0145
15,7119	0,0141
15,7901	0,0143
15,8683	0,0143
15,9464	0,0142
16,0246	0,0143
16,1028	0,0141
16,1809	0,0141
16,2591	0,0142
16,3373	0,0143
16,4154	0,0141
16,4936	0,0141
16,5718	0,0145
16,6499	0,0141
16,7281	0,0142
16,8063	0,0143
16,8845	0,0142
16,9626	0,0143
17,0408	0,0143
17,1190	0,0141
17,1971	0,0144
17,2753	0,0143
17,3535	0,0142
17,4316	0,0143
17,5098	0,0143
17,5880	0,0142
17,6661	0,0143
17,7443	0,0143
17,8225	0,0141
17,9006	0,0141
17,9788	0,0143
18,0570	0,0142
18,1352	0,0142
18,2133	0,0143
18,2915	0,0142
18,3697	0,0144
18,4478	0,0142
18,5260	0,0143
18,6042	0,0143
18,6823	0,0143
18,7605	0,0142
18,8387	0,0141
18,9168	0,0143
18,9950	0,0143
19,0732	0,0143
19,1513	0,0143
19,2295	0,0141
19,3077	0,0143
19,3859	0,0141
19,4640	0,0142
19,5422	0,0143
19,6204	0,0143
19,6985	0,0141
19,7767	0,0142
19,8549	0,0143
19,9330	0,0144
