Position, Messreihe #1
Zeit ( s )	Position ( m )
6,1450E-4	0,211
0,0256	0,211
0,0506	0,211
0,0756	0,211
0,1006	0,211
0,1256	0,211
0,1506	0,211
0,1756	0,211
0,2006	0,211
0,2256	0,211
0,2506	0,211
0,2756	0,211
0,3006	0,211
0,3256	0,211
0,3506	0,211
0,3756	0,211
0,4006	0,211
0,4256	0,211
0,4506	0,211
0,4756	0,211
0,5006	0,211
0,5256	0,211
0,5506	0,211
0,5756	0,211
0,6006	0,211
0,6256	0,211
0,6506	0,211
0,6756	0,211
0,7006	0,211
0,7256	0,211
0,7506	0,211
0,7756	0,211
0,8006	0,211
0,8256	0,211
0,8506	0,211
0,8756	0,211
0,9006	0,211
0,9256	0,211
0,9506	0,211
0,9756	0,211
1,0006	0,211
1,0256	0,211
1,0506	0,211
1,0756	0,202
1,1006	0,214
1,1256	0,216
1,1506	0,218
1,1756	0,221
1,2007	0,224
1,2257	0,228
1,2507	0,232
1,2757	0,237
1,3007	0,241
1,3257	0,247
1,3507	0,252
1,3758	0,258
1,4008	0,264
1,4258	0,271
1,4508	0,277
1,4758	0,284
1,5008	0,291
1,5259	0,298
1,5509	0,305
1,5759	0,312
1,6009	0,319
1,6259	0,326
1,6510	0,333
1,6760	0,340
1,7010	0,346
1,7260	0,355
1,7510	0,361
1,7761	0,367
1,8011	0,373
1,8261	0,378
1,8511	0,383
1,8761	0,388
1,9011	0,392
1,9261	0,396
1,9512	0,399
1,9762	0,402
2,0012	0,404
2,0262	0,406
2,0512	0,407
2,0762	0,408
2,1012	0,409
2,1262	0,409
2,1512	0,408
2,1762	0,407
2,2012	0,406
2,2262	0,404
2,2512	0,402
2,2762	0,399
2,3011	0,396
2,3261	0,392
2,3511	0,388
2,3761	0,383
2,4011	0,378
2,4261	0,373
2,4511	0,367
2,4760	0,361
2,5010	0,355
2,5260	0,348
2,5510	0,340
2,5760	0,333
2,6009	0,326
2,6259	0,319
2,6509	0,312
2,6759	0,305
2,7009	0,298
2,7258	0,291
2,7508	0,284
2,7758	0,278
2,8008	0,271
2,8258	0,265
2,8508	0,259
2,8757	0,253
2,9007	0,248
2,9257	0,243
2,9507	0,238
2,9757	0,233
3,0007	0,229
3,0257	0,225
3,0506	0,222
3,0756	0,219
3,1006	0,217
3,1256	0,215
3,1506	0,214
3,1756	0,213
3,2006	0,212
3,2256	0,213
3,2506	0,213
3,2756	0,214
3,3006	0,216
3,3256	0,218
3,3506	0,221
3,3757	0,224
3,4007	0,227
3,4257	0,231
3,4507	0,235
3,4757	0,240
3,5007	0,245
3,5257	0,250
3,5507	0,256
3,5758	0,262
3,6008	0,268
3,6258	0,275
3,6508	0,281
3,6758	0,288
3,7009	0,295
3,7259	0,302
3,7509	0,309
3,7759	0,315
3,8009	0,322
3,8260	0,329
3,8510	0,336
3,8760	0,343
3,9010	0,351
3,9260	0,357
3,9511	0,363
3,9761	0,369
4,0011	0,375
4,0261	0,380
4,0511	0,385
4,0761	0,389
4,1011	0,393
4,1262	0,396
4,1512	0,399
4,1762	0,402
4,2012	0,404
4,2262	0,405
4,2512	0,407
4,2762	0,407
4,3012	0,407
4,3262	0,407
4,3512	0,406
4,3762	0,405
4,4012	0,403
4,4262	0,401
4,4512	0,399
4,4761	0,396
4,5011	0,392
4,5261	0,388
4,5511	0,384
4,5761	0,379
4,6011	0,374
4,6261	0,368
4,6511	0,363
4,6760	0,357
4,7010	0,351
4,7260	0,344
4,7510	0,336
4,7760	0,329
4,8009	0,322
4,8259	0,315
4,8509	0,308
4,8759	0,301
4,9009	0,294
4,9258	0,288
4,9508	0,281
4,9758	0,275
5,0008	0,268
5,0258	0,262
5,0507	0,256
5,0757	0,251
5,1007	0,246
5,1257	0,241
5,1507	0,236
5,1757	0,232
5,2007	0,228
5,2257	0,225
5,2506	0,222
5,2756	0,219
5,3006	0,217
5,3256	0,216
5,3506	0,215
5,3756	0,214
5,4006	0,214
5,4256	0,215
5,4506	0,216
5,4756	0,217
5,5006	0,219
5,5256	0,222
5,5507	0,224
5,5757	0,228
5,6007	0,232
5,6257	0,236
5,6507	0,240
5,6757	0,245
5,7007	0,250
5,7257	0,255
5,7508	0,261
5,7758	0,267
5,8008	0,273
5,8258	0,280
5,8508	0,286
5,8759	0,293
5,9009	0,300
5,9259	0,306
5,9509	0,313
5,9759	0,320
6,0010	0,327
6,0260	0,334
6,0510	0,340
6,0760	0,349
6,1010	0,355
6,1260	0,361
6,1511	0,366
6,1761	0,372
6,2011	0,377
6,2261	0,382
6,2511	0,386
6,2761	0,390
6,3011	0,393
6,3262	0,396
6,3512	0,399
6,3762	0,401
6,4012	0,403
6,4262	0,404
6,4512	0,405
6,4762	0,405
6,5012	0,405
6,5262	0,405
6,5512	0,404
6,5762	0,402
6,6012	0,400
6,6262	0,397
6,6511	0,395
6,6761	0,391
6,7011	0,388
6,7261	0,384
6,7511	0,379
6,7761	0,374
6,8011	0,369
6,8261	0,363
6,8510	0,358
6,8760	0,351
6,9010	0,345
6,9260	0,337
6,9510	0,330
6,9759	0,323
7,0009	0,316
7,0259	0,310
7,0509	0,303
7,0759	0,296
7,1008	0,289
7,1258	0,283
7,1508	0,277
7,1758	0,271
7,2008	0,265
7,2258	0,259
7,2507	0,253
7,2757	0,248
7,3007	0,243
7,3257	0,239
7,3507	0,234
7,3757	0,231
7,4007	0,227
7,4257	0,224
7,4506	0,222
7,4756	0,220
7,5006	0,218
7,5256	0,217
7,5506	0,216
7,5756	0,216
7,6006	0,217
7,6256	0,218
7,6506	0,219
7,6756	0,221
7,7006	0,223
7,7257	0,225
7,7507	0,229
7,7757	0,232
7,8007	0,236
7,8257	0,241
7,8507	0,245
7,8757	0,250
7,9007	0,256
7,9258	0,261
7,9508	0,267
7,9758	0,273
8,0008	0,279
8,0258	0,286
8,0508	0,292
8,0759	0,299
8,1009	0,305
8,1259	0,312
8,1509	0,319
8,1759	0,325
8,2010	0,332
8,2260	0,339
8,2510	0,345
8,2760	0,353
8,3010	0,359
8,3261	0,365
8,3511	0,370
8,3761	0,375
8,4011	0,380
8,4261	0,384
8,4511	0,388
8,4761	0,392
8,5011	0,395
8,5262	0,398
8,5512	0,400
8,5762	0,402
8,6012	0,403
8,6262	0,404
8,6512	0,404
8,6762	0,404
8,7012	0,403
8,7262	0,402
8,7512	0,401
8,7762	0,399
8,8012	0,397
8,8261	0,394
8,8511	0,390
8,8761	0,387
8,9011	0,383
8,9261	0,378
8,9511	0,374
8,9761	0,369
9,0011	0,363
9,0260	0,358
9,0510	0,351
9,0760	0,345
9,1010	0,337
9,1260	0,330
9,1509	0,324
9,1759	0,317
9,2009	0,310
9,2259	0,304
9,2509	0,297
9,2758	0,290
9,3008	0,284
9,3258	0,278
9,3508	0,271
9,3758	0,266
9,4008	0,260
9,4257	0,254
9,4507	0,249
9,4757	0,244
