Position, Messreihe #3
Zeit ( s )	Position ( m )
0,0011	0,371
0,0511	0,373
0,1011	0,374
0,1511	0,374
0,2011	0,373
0,2511	0,370
0,3011	0,365
0,3510	0,361
0,4010	0,354
0,4510	0,345
0,5010	0,337
0,5510	0,329
0,6009	0,320
0,6509	0,311
0,7009	0,302
0,7509	0,293
0,8008	0,285
0,8508	0,277
0,9008	0,270
0,9508	0,263
1,0008	0,258
1,0507	0,254
1,1007	0,250
1,1507	0,248
1,2007	0,247
1,2507	0,248
1,3007	0,250
1,3507	0,252
1,4007	0,256
1,4508	0,262
1,5008	0,268
1,5508	0,275
1,6008	0,283
1,6508	0,291
1,7009	0,300
1,7509	0,309
1,8009	0,318
1,8509	0,327
1,9010	0,336
1,9510	0,346
2,0010	0,353
2,0510	0,359
2,1011	0,364
2,1511	0,369
2,2011	0,372
2,2511	0,374
2,3011	0,374
2,3511	0,374
2,4011	0,372
2,4511	0,368
2,5011	0,364
2,5510	0,358
2,6010	0,352
2,6510	0,343
2,7010	0,335
2,7509	0,326
2,8009	0,318
2,8509	0,309
2,9009	0,300
2,9508	0,291
3,0008	0,283
3,0508	0,276
3,1008	0,268
3,1508	0,262
3,2007	0,257
3,2507	0,253
3,3007	0,250
3,3507	0,248
3,4007	0,248
3,4507	0,249
3,5007	0,251
3,5507	0,254
3,6008	0,259
3,6508	0,264
3,7008	0,271
3,7508	0,278
3,8008	0,286
3,8509	0,294
3,9009	0,303
3,9509	0,311
4,0009	0,320
4,0510	0,329
4,1010	0,337
4,1510	0,347
4,2010	0,354
4,2510	0,360
4,3011	0,364
4,3511	0,368
4,4011	0,372
4,4511	0,373
4,5011	0,373
4,5511	0,372
4,6011	0,370
4,6511	0,366
4,7011	0,362
4,7510	0,356
4,8010	0,348
4,8510	0,340
4,9010	0,332
4,9509	0,323
5,0009	0,315
5,0509	0,306
5,1009	0,298
5,1508	0,289
5,2008	0,281
5,2508	0,274
5,3008	0,267
5,3508	0,261
5,4007	0,256
5,4507	0,253
5,5007	0,250
5,5507	0,249
5,6007	0,249
5,6507	0,250
5,7007	0,253
5,7507	0,256
5,8008	0,261
5,8508	0,267
5,9008	0,273
5,9508	0,281
6,0008	0,289
6,0509	0,297
6,1009	0,305
6,1509	0,314
6,2009	0,323
6,2510	0,331
6,3010	0,339
6,3510	0,346
6,4010	0,355
6,4510	0,361
6,5011	0,365
6,5511	0,368
6,6011	0,371
6,6511	0,372
6,7011	0,372
6,7511	0,370
6,8011	0,368
6,8511	0,364
6,9010	0,359
6,9510	0,353
7,0010	0,344
7,0510	0,337
7,1010	0,329
7,1509	0,320
7,2009	0,312
7,2509	0,303
7,3009	0,295
7,3508	0,287
7,4008	0,279
7,4508	0,272
7,5008	0,266
7,5508	0,260
7,6007	0,256
7,6507	0,253
7,7007	0,251
7,7507	0,250
7,8007	0,250
7,8507	0,252
7,9007	0,255
7,9508	0,259
8,0008	0,264
