Position, Messreihe #1
Zeit ( s )	Position ( m )
6,0950E-4	0,210
0,0256	0,209
0,0506	0,209
0,0756	0,209
0,1006	0,210
0,1256	0,210
0,1506	0,210
0,1756	0,210
0,2006	0,211
0,2256	0,211
0,2506	0,211
0,2756	0,211
0,3006	0,211
0,3256	0,212
0,3506	0,213
0,3756	0,214
0,4006	0,217
0,4256	0,219
0,4506	0,222
0,4757	0,225
0,5007	0,229
0,5257	0,233
0,5507	0,238
0,5757	0,243
0,6007	0,248
0,6257	0,254
0,6508	0,260
0,6758	0,266
0,7008	0,272
0,7258	0,279
0,7508	0,286
0,7758	0,292
0,8009	0,299
0,8259	0,306
0,8509	0,313
0,8759	0,321
0,9010	0,328
0,9260	0,336
0,9510	0,344
0,9760	0,352
1,0010	0,356
1,0261	0,362
1,0511	0,368
1,0761	0,373
1,1011	0,378
1,1261	0,383
1,1511	0,388
1,1761	0,392
1,2011	0,395
1,2262	0,399
1,2512	0,401
1,2762	0,404
1,3012	0,406
1,3262	0,407
1,3512	0,408
1,3762	0,408
1,4012	0,408
1,4262	0,407
1,4512	0,407
1,4762	0,406
1,5012	0,404
1,5262	0,402
1,5512	0,399
1,5761	0,395
1,6011	0,392
1,6261	0,388
1,6511	0,383
1,6761	0,378
1,7011	0,373
1,7261	0,368
1,7511	0,362
1,7760	0,356
1,8010	0,349
1,8260	0,341
1,8510	0,334
1,8760	0,327
1,9009	0,321
1,9259	0,314
1,9509	0,307
1,9759	0,300
2,0009	0,294
2,0258	0,287
2,0508	0,280
2,0758	0,274
2,1008	0,267
2,1258	0,261
2,1507	0,256
2,1757	0,250
2,2007	0,245
2,2257	0,240
2,2507	0,236
2,2757	0,232
2,3007	0,228
2,3257	0,224
2,3506	0,222
2,3756	0,219
2,4006	0,217
2,4256	0,216
2,4506	0,215
2,4756	0,214
2,5006	0,214
2,5256	0,214
2,5506	0,215
2,5756	0,217
2,6006	0,219
2,6256	0,221
2,6507	0,224
2,6757	0,227
2,7007	0,231
2,7257	0,235
2,7507	0,239
2,7757	0,244
2,8007	0,249
2,8257	0,254
2,8508	0,260
2,8758	0,266
2,9008	0,272
2,9258	0,278
2,9508	0,284
2,9758	0,291
3,0009	0,297
3,0259	0,304
3,0509	0,311
3,0759	0,317
3,1009	0,324
3,1260	0,331
3,1510	0,337
3,1760	0,344
3,2010	0,352
3,2260	0,357
3,2511	0,363
3,2761	0,369
3,3011	0,374
3,3261	0,379
3,3511	0,383
3,3761	0,387
3,4011	0,390
3,4261	0,393
3,4512	0,396
3,4762	0,399
3,5012	0,400
3,5262	0,402
3,5512	0,403
3,5762	0,403
3,6012	0,404
3,6262	0,403
3,6512	0,402
3,6762	0,401
3,7012	0,399
3,7262	0,397
3,7511	0,394
3,7761	0,391
3,8011	0,388
3,8261	0,384
3,8511	0,380
3,8761	0,375
3,9011	0,370
3,9261	0,365
3,9510	0,360
3,9760	0,354
4,0010	0,348
4,0260	0,340
4,0510	0,334
4,0760	0,327
4,1009	0,321
4,1259	0,314
4,1509	0,308
4,1759	0,302
4,2009	0,295
4,2258	0,289
4,2508	0,283
4,2758	0,277
4,3008	0,271
4,3258	0,265
4,3508	0,260
4,3757	0,255
4,4007	0,250
4,4257	0,245
4,4507	0,241
4,4757	0,237
4,5007	0,234
4,5257	0,231
4,5507	0,228
4,5757	0,226
4,6007	0,224
4,6256	0,223
4,6506	0,222
4,6756	0,221
4,7006	0,221
4,7256	0,222
4,7506	0,223
4,7757	0,224
4,8007	0,226
4,8257	0,228
4,8507	0,231
4,8757	0,234
4,9007	0,237
4,9257	0,241
4,9507	0,245
4,9757	0,249
5,0007	0,254
5,0258	0,259
5,0508	0,264
5,0758	0,270
5,1008	0,276
5,1258	0,281
5,1508	0,287
5,1759	0,293
5,2009	0,299
5,2259	0,305
5,2509	0,312
5,2759	0,318
5,3009	0,324
5,3260	0,330
5,3510	0,336
5,3760	0,342
5,4010	0,349
5,4260	0,355
5,4510	0,360
5,4761	0,365
5,5011	0,369
5,5261	0,374
5,5511	0,378
5,5761	0,382
5,6011	0,385
5,6261	0,388
5,6511	0,390
5,6761	0,392
5,7011	0,393
5,7261	0,395
5,7511	0,395
5,7762	0,396
5,8012	0,396
5,8261	0,395
5,8511	0,394
5,8761	0,393
5,9011	0,391
5,9261	0,389
5,9511	0,386
5,9761	0,383
6,0011	0,380
6,0261	0,376
6,0511	0,372
6,0761	0,367
6,1011	0,363
6,1260	0,358
6,1510	0,352
6,1760	0,347
6,2010	0,340
6,2260	0,334
6,2510	0,328
6,2759	0,322
6,3009	0,316
6,3259	0,310
6,3509	0,304
6,3759	0,299
6,4009	0,293
6,4258	0,287
6,4508	0,282
6,4758	0,276
6,5008	0,271
6,5258	0,266
6,5508	0,261
6,5757	0,257
6,6007	0,252
6,6257	0,248
6,6507	0,245
6,6757	0,242
6,7007	0,239
6,7257	0,236
6,7507	0,234
6,7757	0,232
6,8007	0,231
6,8257	0,230
6,8507	0,229
6,8757	0,229
6,9007	0,230
6,9257	0,231
6,9507	0,232
6,9757	0,233
7,0007	0,235
7,0257	0,238
7,0507	0,240
7,0757	0,244
7,1007	0,247
7,1257	0,251
7,1507	0,255
7,1758	0,259
7,2008	0,264
7,2258	0,268
7,2508	0,273
7,2758	0,279
7,3008	0,284
7,3258	0,290
7,3509	0,295
7,3759	0,301
7,4009	0,307
