FFT von Position, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,0000	19,4809
0,0781	0,0542
0,1563	0,0608
0,2344	0,0870
0,3126	0,1326
0,3907	0,2827
0,4688	0,6805
0,5470	1,0000
0,6251	0,3481
0,7033	0,2255
0,7814	0,1761
0,8595	0,1499
0,9377	0,1331
1,0158	0,1497
1,0940	0,1110
1,1721	0,1074
1,2503	0,1004
1,3284	0,0981
1,4065	0,0932
1,4847	0,0920
1,5628	0,0927
1,6410	0,0923
1,7191	0,0885
1,7972	0,0876
1,8754	0,0861
1,9535	0,0868
2,0317	0,0902
2,1098	0,0836
2,1879	0,0822
2,2661	0,0821
2,3442	0,0817
2,4224	0,0815
2,5005	0,0797
2,5786	0,0815
2,6568	0,0802
2,7349	0,0806
2,8131	0,0792
2,8912	0,0796
2,9693	0,0783
3,0475	0,0780
3,1256	0,0791
3,2038	0,0796
3,2819	0,0776
3,3600	0,0786
3,4382	0,0774
3,5163	0,0762
3,5945	0,0837
3,6726	0,0797
3,7508	0,0782
3,8289	0,0782
3,9070	0,0780
3,9852	0,0769
4,0633	0,0813
4,1415	0,0755
4,2196	0,0772
4,2977	0,0763
4,3759	0,0773
4,4540	0,0758
4,5322	0,0770
4,6103	0,0795
4,6884	0,0795
4,7666	0,0765
4,8447	0,0779
4,9229	0,0764
5,0010	0,0781
5,0791	0,0803
5,1573	0,0752
5,2354	0,0748
5,3136	0,0757
5,3917	0,0753
5,4698	0,0759
5,5480	0,0766
5,6261	0,0749
5,7043	0,0770
5,7824	0,0762
5,8605	0,0760
5,9387	0,0759
6,0168	0,0770
6,0950	0,0769
6,1731	0,0759
6,2513	0,0748
6,3294	0,0752
6,4075	0,0754
6,4857	0,0762
6,5638	0,0751
6,6420	0,0752
6,7201	0,0752
6,7982	0,0757
6,8764	0,0755
6,9545	0,0757
7,0327	0,0755
7,1108	0,0764
7,1889	0,0756
7,2671	0,0762
7,3452	0,0750
7,4234	0,0758
7,5015	0,0756
7,5796	0,0759
7,6578	0,0768
7,7359	0,0764
7,8141	0,0752
7,8922	0,0769
7,9703	0,0753
8,0485	0,0757
8,1266	0,0771
8,2048	0,0746
8,2829	0,0747
8,3610	0,0754
8,4392	0,0751
8,5173	0,0755
8,5955	0,0764
8,6736	0,0754
8,7518	0,0762
8,8299	0,0752
8,9080	0,0758
8,9862	0,0751
9,0643	0,0763
9,1425	0,0762
9,2206	0,0744
9,2987	0,0740
9,3769	0,0752
9,4550	0,0742
9,5332	0,0761
9,6113	0,0753
9,6894	0,0744
9,7676	0,0753
9,8457	0,0762
9,9239	0,0750
10,0020	0,0760
10,0801	0,0758
10,1583	0,0749
10,2364	0,0753
10,3146	0,0745
10,3927	0,0749
10,4708	0,0753
10,5490	0,0755
10,6271	0,0748
10,7053	0,0748
10,7834	0,0752
10,8615	0,0756
10,9397	0,0757
11,0178	0,0756
11,0960	0,0750
11,1741	0,0755
11,2523	0,0756
11,3304	0,0754
11,4085	0,0754
11,4867	0,0752
11,5648	0,0755
11,6430	0,0758
11,7211	0,0754
11,7992	0,0753
11,8774	0,0747
11,9555	0,0758
12,0337	0,0753
12,1118	0,0757
12,1899	0,0754
12,2681	0,0752
12,3462	0,0741
12,4244	0,0757
12,5025	0,0743
12,5806	0,0763
12,6588	0,0756
12,7369	0,0748
12,8151	0,0754
12,8932	0,0756
12,9713	0,0748
13,0495	0,0761
13,1276	0,0754
13,2058	0,0750
13,2839	0,0746
13,3620	0,0745
13,4402	0,0751
13,5183	0,0751
13,5965	0,0756
13,6746	0,0753
13,7528	0,0744
13,8309	0,0753
13,9090	0,0762
13,9872	0,0750
14,0653	0,0765
14,1435	0,0751
14,2216	0,0751
14,2997	0,0754
14,3779	0,0754
14,4560	0,0746
14,5342	0,0758
14,6123	0,0749
14,6904	0,0755
14,7686	0,0746
14,8467	0,0752
14,9249	0,0753
15,0030	0,0753
15,0811	0,0758
15,1593	0,0749
15,2374	0,0752
15,3156	0,0755
15,3937	0,0754
15,4718	0,0754
15,5500	0,0752
15,6281	0,0753
15,7063	0,0753
15,7844	0,0751
15,8625	0,0751
15,9407	0,0752
16,0188	0,0753
16,0970	0,0758
16,1751	0,0753
16,2533	0,0748
16,3314	0,0748
16,4095	0,0751
16,4877	0,0755
16,5658	0,0753
16,6440	0,0755
16,7221	0,0753
16,8002	0,0744
16,8784	0,0754
16,9565	0,0758
17,0347	0,0749
17,1128	0,0766
17,1909	0,0754
17,2691	0,0749
17,3472	0,0752
17,4254	0,0750
17,5035	0,0747
17,5816	0,0765
17,6598	0,0747
17,7379	0,0748
17,8161	0,0744
17,8942	0,0759
17,9723	0,0755
18,0505	0,0760
18,1286	0,0757
18,2068	0,0751
18,2849	0,0750
18,3630	0,0763
18,4412	0,0755
18,5193	0,0750
18,5975	0,0760
18,6756	0,0746
18,7538	0,0751
18,8319	0,0756
18,9100	0,0757
18,9882	0,0753
19,0663	0,0762
19,1445	0,0748
19,2226	0,0753
19,3007	0,0748
19,3789	0,0758
19,4570	0,0753
19,5352	0,0752
19,6133	0,0746
19,6914	0,0752
19,7696	0,0756
19,8477	0,0755
19,9259	0,0752
