Position, Messreihe #3
Zeit ( s )	Position ( m )
0,0010	0,348
0,0260	0,350
0,0510	0,352
0,0760	0,354
0,1010	0,356
0,1260	0,360
0,1511	0,361
0,1761	0,363
0,2011	0,365
0,2261	0,366
0,2511	0,368
0,2761	0,369
0,3011	0,370
0,3261	0,371
0,3511	0,372
0,3761	0,372
0,4011	0,373
0,4261	0,373
0,4511	0,373
0,4761	0,373
0,5011	0,373
0,5261	0,373
0,5511	0,372
0,5761	0,371
0,6011	0,371
0,6261	0,370
0,6511	0,369
0,6761	0,367
0,7011	0,366
0,7261	0,364
0,7511	0,363
0,7761	0,361
0,8010	0,359
0,8260	0,358
0,8510	0,354
0,8760	0,352
0,9010	0,350
0,9260	0,347
0,9510	0,345
0,9760	0,343
1,0010	0,341
1,0260	0,339
1,0510	0,337
1,0760	0,335
1,1010	0,333
1,1260	0,331
1,1510	0,330
1,1760	0,328
1,2009	0,327
1,2259	0,325
1,2509	0,324
1,2759	0,323
1,3009	0,322
1,3259	0,321
1,3509	0,321
1,3759	0,320
1,4009	0,320
1,4259	0,320
1,4509	0,320
1,4759	0,320
1,5009	0,320
1,5259	0,321
1,5509	0,321
1,5759	0,322
1,6009	0,323
1,6259	0,324
1,6509	0,325
1,6759	0,326
1,7010	0,328
1,7260	0,329
1,7510	0,331
1,7760	0,333
1,8010	0,335
1,8260	0,336
1,8510	0,338
1,8760	0,340
1,9010	0,342
1,9260	0,344
1,9510	0,346
1,9760	0,348
2,0010	0,350
2,0260	0,352
2,0510	0,356
2,0760	0,358
2,1010	0,360
2,1261	0,361
2,1511	0,363
2,1761	0,364
2,2011	0,366
2,2261	0,367
2,2511	0,368
2,2761	0,369
2,3011	0,370
2,3261	0,371
2,3511	0,371
2,3761	0,371
2,4011	0,372
2,4261	0,372
2,4511	0,372
2,4761	0,372
2,5011	0,371
2,5261	0,371
2,5511	0,370
2,5761	0,369
2,6011	0,368
2,6261	0,367
2,6511	0,365
2,6761	0,364
2,7011	0,362
2,7260	0,361
2,7510	0,358
2,7760	0,355
2,8010	0,353
2,8260	0,351
2,8510	0,350
2,8760	0,348
2,9010	0,346
2,9260	0,344
2,9510	0,342
2,9760	0,340
3,0010	0,338
3,0260	0,336
3,0510	0,334
3,0760	0,333
3,1010	0,331
3,1260	0,330
3,1510	0,328
3,1760	0,327
3,2009	0,326
3,2259	0,325
3,2509	0,324
3,2759	0,323
3,3009	0,322
3,3259	0,322
3,3509	0,322
3,3759	0,321
3,4009	0,321
3,4259	0,322
3,4509	0,322
3,4759	0,322
3,5009	0,323
3,5259	0,324
3,5509	0,324
3,5759	0,325
3,6009	0,327
3,6260	0,328
3,6510	0,329
3,6760	0,331
3,7010	0,332
3,7260	0,334
3,7510	0,336
3,7760	0,337
3,8010	0,339
3,8260	0,341
3,8510	0,343
3,8760	0,345
3,9010	0,347
3,9260	0,349
3,9510	0,351
3,9760	0,352
4,0010	0,356
4,0260	0,358
4,0510	0,360
4,0760	0,361
4,1011	0,363
4,1261	0,364
4,1511	0,365
4,1761	0,367
4,2011	0,367
4,2261	0,368
4,2511	0,369
4,2761	0,370
4,3011	0,370
4,3261	0,370
4,3511	0,370
4,3761	0,370
4,4011	0,370
4,4261	0,370
4,4511	0,369
4,4761	0,369
4,5011	0,368
4,5261	0,367
4,5511	0,366
4,5761	0,365
4,6011	0,364
4,6261	0,362
4,6510	0,361
4,6760	0,359
4,7010	0,356
4,7260	0,354
4,7510	0,352
4,7760	0,350
4,8010	0,348
4,8260	0,346
4,8510	0,345
4,8760	0,343
4,9010	0,341
4,9260	0,339
4,9510	0,337
4,9760	0,335
5,0010	0,334
5,0260	0,332
5,0510	0,331
5,0760	0,329
5,1010	0,328
5,1260	0,327
5,1509	0,326
5,1759	0,325
5,2009	0,324
5,2259	0,323
5,2509	0,323
5,2759	0,322
5,3009	0,322
5,3259	0,322
5,3509	0,322
5,3759	0,322
5,4009	0,323
5,4259	0,323
5,4509	0,324
5,4759	0,325
5,5009	0,326
5,5259	0,327
5,5510	0,328
5,5760	0,329
5,6010	0,331
5,6260	0,332
5,6510	0,334
5,6760	0,335
5,7010	0,337
5,7260	0,339
5,7510	0,341
5,7760	0,343
5,8010	0,345
5,8260	0,346
5,8510	0,348
5,8760	0,350
5,9010	0,352
5,9260	0,355
5,9510	0,358
5,9760	0,359
6,0010	0,361
6,0261	0,362
6,0511	0,364
6,0761	0,365
6,1011	0,366
6,1261	0,367
6,1511	0,368
6,1761	0,369
6,2011	0,370
6,2261	0,370
6,2511	0,370
6,2761	0,371
6,3011	0,371
6,3261	0,371
6,3511	0,370
6,3761	0,370
6,4011	0,369
6,4261	0,369
6,4511	0,368
6,4761	0,367
6,5011	0,366
6,5261	0,364
6,5511	0,363
6,5761	0,362
6,6010	0,360
6,6260	0,357
6,6510	0,355
6,6760	0,353
6,7010	0,351
6,7260	0,349
6,7510	0,347
6,7760	0,345
6,8010	0,343
6,8260	0,342
6,8510	0,340
6,8760	0,338
6,9010	0,336
6,9260	0,334
6,9510	0,332
6,9760	0,331
7,0010	0,329
7,0260	0,328
7,0510	0,327
7,0759	0,326
7,1009	0,325
7,1259	0,324
7,1509	0,323
7,1759	0,322
7,2009	0,322
7,2259	0,321
7,2509	0,321
7,2759	0,321
7,3009	0,321
7,3259	0,321
7,3509	0,322
7,3759	0,322
7,4009	0,323
7,4259	0,324
7,4509	0,325
7,4759	0,326
7,5010	0,327
7,5260	0,329
7,5510	0,330
7,5760	0,332
7,6010	0,334
7,6260	0,335
7,6510	0,337
7,6760	0,339
7,7010	0,341
7,7260	0,343
7,7510	0,345
7,7760	0,347
7,8010	0,349
7,8260	0,351
7,8510	0,353
7,8760	0,355
7,9010	0,357
7,9260	0,360
7,9511	0,361
7,9761	0,363
8,0011	0,364
8,0261	0,366
8,0511	0,367
8,0761	0,368
8,1011	0,369
8,1261	0,370
8,1511	0,371
8,1761	0,371
8,2011	0,372
8,2261	0,372
8,2511	0,372
8,2761	0,372
8,3011	0,372
8,3261	0,371
8,3511	0,370
8,3761	0,370
8,4011	0,369
8,4261	0,368
8,4511	0,367
8,4761	0,365
8,5011	0,364
8,5261	0,363
8,5510	0,361
8,5760	0,358
8,6010	0,356
