FFT von Position, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,0000	5,9115
0,0391	0,0542
0,0781	0,0530
0,1172	0,0556
0,1562	0,0577
0,1953	0,0616
0,2344	0,0670
0,2734	0,0754
0,3125	0,0892
0,3515	0,1130
0,3906	0,1627
0,4297	0,3838
0,4687	1,0000
0,5078	0,1985
0,5469	0,1100
0,5859	0,0739
0,6250	0,0567
0,6640	0,0463
0,7031	0,0402
0,7422	0,0353
0,7812	0,0316
0,8203	0,0299
0,8593	0,0262
0,8984	0,0187
0,9375	0,0369
0,9765	0,0289
1,0156	0,0292
1,0546	0,0272
1,0937	0,0274
1,1328	0,0266
1,1718	0,0262
1,2109	0,0260
1,2500	0,0253
1,2890	0,0256
1,3281	0,0246
1,3671	0,0228
1,4062	0,0258
1,4453	0,0257
1,4843	0,0250
1,5234	0,0256
1,5624	0,0255
1,6015	0,0253
1,6406	0,0250
1,6796	0,0251
1,7187	0,0252
1,7577	0,0249
1,7968	0,0248
1,8359	0,0273
1,8749	0,0252
1,9140	0,0251
1,9530	0,0243
1,9921	0,0249
2,0312	0,0250
2,0702	0,0247
2,1093	0,0247
2,1484	0,0251
2,1874	0,0246
2,2265	0,0251
2,2655	0,0259
2,3046	0,0238
2,3437	0,0251
2,3827	0,0246
2,4218	0,0248
2,4608	0,0247
2,4999	0,0247
2,5390	0,0246
2,5780	0,0249
2,6171	0,0252
2,6561	0,0244
2,6952	0,0252
2,7343	0,0259
2,7733	0,0240
2,8124	0,0241
2,8514	0,0244
2,8905	0,0243
2,9296	0,0244
2,9686	0,0243
3,0077	0,0246
3,0468	0,0247
3,0858	0,0249
3,1249	0,0247
3,1639	0,0246
3,2030	0,0236
3,2421	0,0249
3,2811	0,0245
3,3202	0,0254
3,3592	0,0245
3,3983	0,0246
3,4374	0,0245
3,4764	0,0245
3,5155	0,0247
3,5545	0,0247
3,5936	0,0248
3,6327	0,0245
3,6717	0,0245
3,7108	0,0242
3,7499	0,0244
3,7889	0,0249
3,8280	0,0245
3,8670	0,0247
3,9061	0,0247
3,9452	0,0247
3,9842	0,0243
4,0233	0,0251
4,0623	0,0243
4,1014	0,0242
4,1405	0,0256
4,1795	0,0251
4,2186	0,0250
4,2576	0,0249
4,2967	0,0244
4,3358	0,0248
4,3748	0,0248
4,4139	0,0248
4,4529	0,0236
4,4920	0,0246
4,5311	0,0244
4,5701	0,0248
4,6092	0,0244
4,6483	0,0249
4,6873	0,0246
4,7264	0,0250
4,7654	0,0247
4,8045	0,0250
4,8436	0,0247
4,8826	0,0247
4,9217	0,0249
4,9607	0,0247
4,9998	0,0248
5,0389	0,0254
5,0779	0,0250
5,1170	0,0247
5,1560	0,0243
5,1951	0,0248
5,2342	0,0246
5,2732	0,0247
5,3123	0,0246
5,3513	0,0248
5,3904	0,0242
5,4295	0,0251
5,4685	0,0248
5,5076	0,0243
5,5467	0,0248
5,5857	0,0246
5,6248	0,0246
5,6638	0,0250
5,7029	0,0245
5,7420	0,0246
5,7810	0,0249
5,8201	0,0250
5,8591	0,0244
5,8982	0,0249
5,9373	0,0247
5,9763	0,0245
6,0154	0,0242
6,0544	0,0246
6,0935	0,0244
6,1326	0,0247
6,1716	0,0245
6,2107	0,0247
6,2498	0,0247
6,2888	0,0246
6,3279	0,0249
6,3669	0,0247
6,4060	0,0243
6,4451	0,0246
6,4841	0,0249
6,5232	0,0251
6,5622	0,0247
6,6013	0,0246
6,6404	0,0248
6,6794	0,0248
6,7185	0,0247
6,7575	0,0248
6,7966	0,0244
6,8357	0,0247
6,8747	0,0248
6,9138	0,0242
6,9528	0,0247
6,9919	0,0249
7,0310	0,0248
7,0700	0,0248
7,1091	0,0250
7,1482	0,0247
7,1872	0,0245
7,2263	0,0252
7,2653	0,0245
7,3044	0,0247
7,3435	0,0250
7,3825	0,0251
7,4216	0,0248
7,4606	0,0249
7,4997	0,0245
7,5388	0,0248
7,5778	0,0245
7,6169	0,0246
7,6559	0,0245
7,6950	0,0245
7,7341	0,0247
7,7731	0,0249
7,8122	0,0247
7,8512	0,0248
7,8903	0,0245
7,9294	0,0250
7,9684	0,0246
8,0075	0,0249
8,0466	0,0247
8,0856	0,0247
8,1247	0,0246
8,1637	0,0249
8,2028	0,0247
8,2419	0,0249
8,2809	0,0248
8,3200	0,0245
8,3590	0,0244
8,3981	0,0247
8,4372	0,0245
8,4762	0,0244
8,5153	0,0249
8,5543	0,0248
8,5934	0,0244
8,6325	0,0251
8,6715	0,0246
8,7106	0,0246
8,7497	0,0246
8,7887	0,0247
8,8278	0,0248
8,8668	0,0250
8,9059	0,0245
8,9450	0,0247
8,9840	0,0248
9,0231	0,0248
9,0621	0,0247
9,1012	0,0246
9,1403	0,0246
9,1793	0,0247
9,2184	0,0243
9,2574	0,0249
9,2965	0,0244
9,3356	0,0248
9,3746	0,0244
9,4137	0,0249
9,4527	0,0247
9,4918	0,0248
9,5309	0,0247
9,5699	0,0248
9,6090	0,0246
9,6481	0,0246
9,6871	0,0250
9,7262	0,0251
9,7652	0,0248
9,8043	0,0248
9,8434	0,0248
9,8824	0,0245
9,9215	0,0246
9,9605	0,0249
