FFT von Position, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,0000	3,1392
0,0391	0,0436
0,0781	0,0458
0,1172	0,0496
0,1563	0,0559
0,1954	0,0656
0,2344	0,0805
0,2735	0,1053
0,3126	0,1512
0,3516	0,2657
0,3907	1,0000
0,4298	0,6280
0,4689	0,1989
0,5079	0,1422
0,5470	0,1062
0,5861	0,0855
0,6251	0,0718
0,6642	0,0622
0,7033	0,0554
0,7424	0,0496
0,7814	0,0450
0,8205	0,0448
0,8596	0,0399
0,8986	0,0374
0,9377	0,0351
0,9768	0,0337
1,0159	0,0320
1,0549	0,0304
1,0940	0,0291
1,1331	0,0281
1,1721	0,0269
1,2112	0,0260
1,2503	0,0257
1,2894	0,0250
1,3284	0,0242
1,3675	0,0237
1,4066	0,0231
1,4456	0,0226
1,4847	0,0224
1,5238	0,0220
1,5629	0,0217
1,6019	0,0222
1,6410	0,0191
1,6801	0,0200
1,7191	0,0195
1,7582	0,0197
1,7973	0,0194
1,8364	0,0191
1,8754	0,0189
1,9145	0,0187
1,9536	0,0184
1,9926	0,0182
2,0317	0,0194
2,0708	0,0181
2,1099	0,0181
2,1489	0,0179
2,1880	0,0176
2,2271	0,0175
2,2661	0,0175
2,3052	0,0175
2,3443	0,0174
2,3834	0,0180
2,4224	0,0196
2,4615	0,0158
2,5006	0,0165
2,5396	0,0165
2,5787	0,0165
2,6178	0,0163
2,6569	0,0163
2,6959	0,0162
2,7350	0,0162
2,7741	0,0163
2,8131	0,0163
2,8522	0,0158
2,8913	0,0158
2,9304	0,0158
2,9694	0,0157
3,0085	0,0156
3,0476	0,0155
3,0866	0,0156
3,1257	0,0156
3,1648	0,0155
3,2039	0,0155
3,2429	0,0147
3,2820	0,0155
3,3211	0,0149
3,3601	0,0153
3,3992	0,0151
3,4383	0,0149
3,4774	0,0151
3,5164	0,0149
3,5555	0,0149
3,5946	0,0145
3,6336	0,0138
3,6727	0,0160
3,7118	0,0149
3,7509	0,0152
3,7899	0,0149
3,8290	0,0149
3,8681	0,0150
3,9071	0,0150
3,9462	0,0150
3,9853	0,0148
4,0244	0,0148
4,0634	0,0147
4,1025	0,0148
4,1416	0,0147
4,1806	0,0148
4,2197	0,0149
4,2588	0,0153
4,2979	0,0146
4,3369	0,0145
4,3760	0,0145
4,4151	0,0143
4,4541	0,0140
4,4932	0,0146
4,5323	0,0146
4,5714	0,0144
4,6104	0,0145
4,6495	0,0146
4,6886	0,0144
4,7276	0,0145
4,7667	0,0145
4,8058	0,0143
4,8449	0,0143
4,8839	0,0142
4,9230	0,0145
4,9621	0,0143
5,0012	0,0144
5,0402	0,0143
5,0793	0,0143
5,1184	0,0142
5,1574	0,0142
5,1965	0,0143
5,2356	0,0142
5,2747	0,0146
5,3137	0,0142
5,3528	0,0144
5,3919	0,0141
5,4309	0,0142
5,4700	0,0143
5,5091	0,0142
5,5482	0,0143
5,5872	0,0143
5,6263	0,0143
5,6654	0,0146
5,7044	0,0139
5,7435	0,0142
5,7826	0,0141
5,8217	0,0143
5,8607	0,0142
5,8998	0,0140
5,9389	0,0141
5,9779	0,0140
6,0170	0,0140
6,0561	0,0142
6,0952	0,0143
6,1342	0,0140
6,1733	0,0142
6,2124	0,0142
6,2514	0,0139
6,2905	0,0139
6,3296	0,0140
6,3687	0,0140
6,4077	0,0139
6,4468	0,0141
6,4859	0,0142
6,5249	0,0141
6,5640	0,0140
6,6031	0,0141
6,6422	0,0139
6,6812	0,0139
6,7203	0,0140
6,7594	0,0140
6,7984	0,0139
6,8375	0,0140
6,8766	0,0141
6,9157	0,0142
6,9547	0,0141
6,9938	0,0141
7,0329	0,0140
7,0719	0,0140
7,1110	0,0141
7,1501	0,0142
7,1892	0,0141
7,2282	0,0142
7,2673	0,0140
7,3064	0,0136
7,3454	0,0141
7,3845	0,0138
7,4236	0,0141
7,4627	0,0141
7,5017	0,0139
7,5408	0,0140
7,5799	0,0139
7,6189	0,0140
7,6580	0,0138
7,6971	0,0135
7,7362	0,0141
7,7752	0,0139
7,8143	0,0139
7,8534	0,0139
7,8924	0,0139
7,9315	0,0141
7,9706	0,0140
8,0097	0,0140
8,0487	0,0140
8,0878	0,0138
8,1269	0,0138
8,1659	0,0139
8,2050	0,0139
8,2441	0,0138
8,2832	0,0139
8,3222	0,0140
8,3613	0,0139
8,4004	0,0139
8,4394	0,0139
8,4785	0,0138
8,5176	0,0139
8,5567	0,0137
8,5957	0,0140
8,6348	0,0137
8,6739	0,0140
8,7129	0,0142
8,7520	0,0139
8,7911	0,0139
8,8302	0,0140
8,8692	0,0139
8,9083	0,0138
8,9474	0,0138
8,9864	0,0140
9,0255	0,0139
9,0646	0,0139
9,1037	0,0139
9,1427	0,0137
9,1818	0,0138
9,2209	0,0138
9,2599	0,0136
9,2990	0,0138
9,3381	0,0141
9,3772	0,0138
9,4162	0,0139
9,4553	0,0137
9,4944	0,0138
9,5334	0,0139
9,5725	0,0138
9,6116	0,0139
9,6507	0,0139
9,6897	0,0139
9,7288	0,0140
9,7679	0,0138
9,8069	0,0139
9,8460	0,0139
9,8851	0,0139
9,9242	0,0138
9,9632	0,0138
