Position, Messreihe #5
Zeit ( s )	Position ( m )
0,0013	0,438
0,0513	0,438
0,1013	0,438
0,1513	0,438
0,2013	0,438
0,2513	0,438
0,3013	0,439
0,3513	0,439
0,4013	0,439
0,4513	0,438
0,5013	0,436
0,5513	0,432
0,6012	0,426
0,6512	0,418
0,7012	0,408
0,7512	0,397
0,8011	0,385
0,8511	0,372
0,9010	0,356
0,9510	0,339
1,0009	0,323
1,0509	0,307
1,1008	0,291
1,1508	0,275
1,2008	0,260
1,2507	0,246
1,3007	0,233
1,3506	0,220
1,4006	0,209
1,4506	0,201
1,5006	0,193
1,5505	0,188
1,6005	0,184
1,6505	0,182
1,7005	0,183
1,7505	0,186
1,8006	0,190
1,8506	0,196
1,9006	0,204
1,9506	0,214
2,0007	0,226
2,0507	0,238
2,1007	0,252
2,1508	0,267
2,2008	0,283
2,2509	0,298
2,3009	0,314
2,3510	0,331
2,4010	0,349
2,4511	0,364
2,5011	0,379
2,5511	0,392
2,6012	0,403
2,6512	0,414
2,7012	0,423
2,7512	0,430
2,8013	0,435
2,8513	0,438
2,9013	0,440
2,9513	0,439
3,0013	0,436
3,0513	0,431
3,1012	0,424
3,1512	0,416
3,2012	0,405
3,2511	0,394
3,3011	0,381
3,3511	0,367
3,4010	0,352
3,4510	0,333
3,5009	0,317
3,5509	0,301
3,6008	0,285
3,6508	0,269
3,7007	0,254
3,7507	0,239
3,8007	0,226
3,8506	0,214
3,9006	0,204
3,9506	0,195
4,0005	0,188
4,0505	0,184
4,1005	0,181
4,1505	0,179
4,2005	0,181
4,2505	0,184
4,3006	0,190
4,3506	0,197
4,4006	0,206
4,4506	0,217
4,5007	0,229
4,5507	0,243
4,6007	0,257
4,6508	0,273
4,7008	0,289
4,7509	0,306
4,8009	0,322
4,8510	0,339
4,9010	0,357
4,9511	0,373
5,0011	0,387
5,0512	0,400
5,1012	0,411
5,1512	0,421
5,2012	0,430
5,2513	0,437
5,3013	0,441
5,3513	0,443
5,4013	0,443
5,4513	0,442
5,5013	0,438
5,5513	0,431
5,6012	0,423
5,6512	0,413
5,7012	0,402
5,7511	0,390
5,8011	0,375
5,8510	0,360
5,9010	0,342
5,9509	0,325
6,0009	0,308
6,0508	0,291
6,1008	0,274
6,1508	0,258
6,2007	0,243
6,2507	0,229
6,3006	0,216
6,3506	0,204
6,4006	0,195
6,4505	0,187
6,5005	0,181
6,5505	0,177
6,6005	0,175
6,6505	0,176
6,7005	0,178
6,7505	0,183
6,8006	0,190
6,8506	0,199
6,9006	0,210
6,9506	0,222
7,0007	0,235
7,0507	0,250
7,1008	0,266
7,1508	0,283
7,2009	0,300
7,2509	0,317
7,3010	0,335
7,3510	0,354
7,4011	0,370
7,4511	0,385
7,5012	0,399
7,5512	0,411
7,6012	0,422
7,6513	0,432
7,7013	0,439
7,7513	0,444
7,8013	0,447
7,8513	0,448
7,9013	0,446
7,9513	0,442
8,0013	0,437
8,0512	0,429
8,1012	0,419
8,1512	0,407
8,2011	0,395
8,2511	0,381
8,3011	0,365
8,3510	0,348
8,4010	0,329
8,4509	0,311
8,5009	0,294
8,5508	0,277
8,6008	0,260
8,6507	0,244
8,7007	0,229
8,7506	0,216
8,8006	0,204
8,8506	0,193
8,9005	0,185
8,9505	0,178
9,0005	0,174
9,0505	0,172
9,1005	0,172
9,1505	0,175
9,2005	0,180
9,2505	0,186
9,3006	0,195
9,3506	0,206
9,4006	0,218
9,4507	0,232
9,5007	0,248
9,5508	0,263
9,6008	0,280
9,6509	0,298
9,7009	0,315
9,7510	0,333
9,8010	0,351
9,8511	0,369
9,9011	0,385
9,9512	0,399
10,0012	0,411
10,0512	0,422
10,1013	0,432
10,1513	0,440
10,2013	0,445
10,2513	0,448
10,3013	0,449
10,3513	0,448
10,4013	0,444
10,4513	0,439
10,5013	0,431
10,5512	0,421
10,6012	0,409
10,6512	0,396
10,7011	0,382
10,7511	0,366
10,8010	0,348
10,8510	0,330
10,9009	0,313
10,9509	0,295
11,0008	0,278
11,0508	0,261
11,1007	0,245
11,1507	0,230
11,2006	0,217
11,2506	0,204
11,3006	0,194
11,3505	0,186
11,4005	0,179
11,4505	0,175
11,5005	0,173
11,5505	0,173
11,6005	0,175
11,6505	0,180
11,7005	0,186
11,7506	0,195
11,8006	0,206
11,8506	0,218
11,9007	0,232
11,9507	0,247
12,0008	0,263
12,0508	0,280
12,1009	0,297
12,1509	0,314
12,2010	0,331
12,2510	0,351
12,3011	0,368
12,3511	0,383
12,4012	0,396
12,4512	0,409
12,5012	0,420
12,5512	0,430
12,6013	0,437
12,6513	0,442
12,7013	0,446
12,7513	0,447
12,8013	0,446
12,8513	0,442
12,9013	0,437
12,9512	0,429
13,0012	0,420
13,0512	0,408
13,1012	0,396
13,1511	0,382
13,2011	0,367
13,2510	0,351
13,3010	0,332
13,3509	0,314
13,4009	0,297
13,4508	0,281
13,5008	0,264
13,5507	0,249
13,6007	0,234
13,6506	0,221
13,7006	0,209
13,7506	0,199
13,8006	0,190
13,8505	0,184
13,9005	0,179
13,9505	0,177
14,0005	0,177
14,0505	0,179
14,1005	0,183
14,1506	0,189
14,2006	0,198
14,2506	0,207
14,3006	0,219
14,3507	0,232
14,4007	0,246
14,4508	0,262
14,5008	0,277
14,5509	0,294
14,6009	0,311
14,6510	0,328
14,7010	0,345
14,7511	0,362
14,8011	0,377
14,8511	0,391
14,9012	0,403
14,9512	0,414
15,0012	0,423
15,0513	0,431
15,1013	0,437
15,1513	0,440
15,2013	0,442
15,2513	0,441
15,3013	0,438
15,3513	0,433
15,4012	0,427
15,4512	0,418
15,5012	0,407
15,5512	0,396
15,6011	0,383
15,6511	0,369
15,7010	0,353
15,7510	0,335
15,8009	0,319
15,8509	0,303
15,9008	0,287
15,9508	0,271
16,0007	0,256
16,0507	0,242
16,1007	0,229
16,1506	0,217
16,2006	0,206
16,2506	0,198
16,3006	0,191
16,3505	0,186
16,4005	0,183
16,4505	0,182
16,5005	0,184
16,5505	0,187
16,6006	0,192
16,6506	0,199
16,7006	0,208
16,7506	0,219
16,8007	0,230
16,8507	0,244
16,9007	0,258
16,9508	0,273
17,0008	0,288
17,0509	0,304
17,1009	0,320
17,1510	0,336
17,2010	0,354
17,2511	0,368
17,3011	0,382
17,3511	0,394
17,4012	0,405
17,4512	0,415
17,5012	0,423
17,5512	0,429
17,6013	0,433
17,6513	0,436
17,7013	0,436
17,7513	0,435
17,8013	0,431
17,8512	0,425
17,9012	0,418
17,9512	0,409
18,0012	0,399
18,0511	0,387
18,1011	0,374
18,1510	0,360
18,2010	0,345
18,2510	0,327
18,3009	0,311
18,3509	0,296
18,4008	0,281
18,4508	0,266
18,5007	0,251
18,5507	0,238
18,6007	0,226
18,6506	0,215
18,7006	0,206
18,7506	0,198
18,8006	0,192
18,8505	0,189
18,9005	0,187
18,9505	0,187
19,0005	0,189
19,0506	0,192
19,1006	0,198
19,1506	0,206
19,2006	0,215
19,2507	0,225
19,3007	0,238
19,3507	0,251
19,4008	0,265
19,4508	0,279
19,5009	0,294
19,5509	0,310
19,6009	0,326
19,6510	0,341
19,7010	0,358
19,7511	0,372
19,8011	0,385
19,8512	0,397
19,9012	0,407
19,9512	0,416
20,0012	0,423
20,0512	0,429
20,1013	0,432
20,1513	0,434
20,2013	0,434
20,2513	0,432
20,3012	0,428
20,3512	0,421
20,4012	0,413
20,4512	0,404
20,5011	0,394
20,5511	0,382
20,6011	0,369
20,6510	0,354
20,7010	0,337
20,7509	0,322
20,8009	0,306
20,8508	0,291
20,9008	0,276
20,9508	0,261
21,0007	0,248
21,0507	0,235
21,1006	0,223
21,1506	0,213
21,2006	0,204
21,2506	0,197
21,3006	0,191
21,3505	0,188
21,4005	0,186
21,4505	0,187
21,5006	0,190
21,5506	0,194
21,6006	0,200
21,6506	0,208
21,7006	0,218
21,7507	0,229
21,8007	0,241
21,8507	0,255
21,9008	0,269
21,9508	0,284
22,0009	0,300
22,0509	0,315
22,1010	0,331
22,1510	0,349
22,2011	0,364
22,2511	0,378
22,3011	0,390
22,3512	0,402
22,4012	0,412
22,4512	0,420
22,5012	0,427
22,5513	0,432
22,6013	0,435
22,6513	0,436
22,7013	0,435
22,7513	0,432
22,8012	0,427
22,8512	0,421
22,9012	0,412
22,9512	0,402
23,0011	0,391
23,0511	0,378
23,1011	0,364
23,1510	0,348
23,2010	0,331
23,2509	0,315
23,3009	0,300
23,3508	0,284
23,4008	0,268
23,4507	0,254
23,5007	0,240
23,5507	0,227
23,6006	0,216
23,6506	0,206
23,7006	0,197
23,7506	0,191
23,8005	0,186
23,8505	0,184
23,9005	0,183
23,9505	0,184
24,0005	0,188
24,0506	0,193
24,1006	0,201
24,1506	0,210
24,2006	0,221
24,2507	0,233
24,3007	0,246
24,3508	0,261
24,4008	0,276
24,4508	0,292
24,5009	0,308
24,5509	0,324
24,6010	0,340
24,6510	0,358
24,7011	0,373
24,7511	0,387
24,8012	0,399
24,8512	0,410
24,9012	0,420
24,9512	0,428
25,0013	0,434
25,0513	0,438
25,1013	0,440
25,1513	0,440
25,2013	0,438
25,2513	0,434
25,3012	0,427
25,3512	0,419
25,4012	0,410
25,4512	0,398
25,5011	0,386
25,5511	0,372
25,6010	0,356
25,6510	0,338
25,7009	0,322
25,7509	0,305
25,8008	0,289
25,8508	0,272
25,9007	0,257
25,9507	0,242
26,0007	0,229
26,0506	0,216
26,1006	0,205
26,1506	0,196
26,2005	0,189
26,2505	0,183
26,3005	0,180
26,3505	0,179
26,4005	0,180
26,4505	0,182
26,5005	0,188
26,5506	0,195
26,6006	0,204
26,6506	0,215
26,7007	0,227
26,7507	0,240
26,8007	0,255
26,8508	0,271
26,9008	0,287
26,9509	0,304
27,0009	0,321
27,0510	0,337
27,1010	0,356
27,1511	0,372
27,2011	0,386
27,2512	0,399
27,3012	0,411
27,3512	0,421
27,4013	0,430
27,4513	0,437
27,5013	0,441
27,5513	0,444
27,6013	0,444
27,6513	0,442
27,7013	0,438
27,7513	0,432
27,8012	0,424
27,8512	0,414
27,9012	0,402
27,9511	0,389
28,0011	0,375
28,0510	0,360
28,1010	0,341
28,1509	0,324
28,2009	0,307
28,2508	0,291
28,3008	0,274
28,3507	0,258
28,4007	0,243
28,4507	0,229
28,5006	0,216
28,5506	0,205
28,6006	0,195
28,6505	0,187
28,7005	0,182
28,7505	0,178
28,8005	0,176
28,8505	0,177
28,9005	0,180
28,9505	0,185
29,0006	0,192
29,0506	0,201
29,1006	0,212
29,1507	0,224
29,2007	0,238
29,2507	0,253
29,3008	0,269
29,3508	0,286
29,4009	0,302
29,4509	0,319
29,5010	0,336
29,5510	0,355
29,6011	0,371
29,6511	0,386
29,7012	0,399
29,7512	0,411
29,8012	0,421
29,8512	0,430
29,9013	0,437
29,9513	0,441
30,0013	0,444
30,0513	0,444
30,1013	0,442
30,1513	0,438
30,2013	0,432
30,2512	0,424
30,3012	0,414
30,3512	0,403
30,4011	0,390
30,4511	0,376
30,5010	0,361
30,5510	0,342
30,6009	0,325
30,6509	0,308
30,7008	0,292
30,7508	0,275
30,8008	0,259
30,8507	0,244
30,9007	0,230
30,9506	0,217
31,0006	0,206
31,0506	0,197
31,1005	0,189
31,1505	0,183
31,2005	0,180
31,2505	0,178
31,3005	0,179
31,3505	0,182
31,4005	0,187
31,4506	0,193
31,5006	0,202
31,5506	0,213
31,6007	0,225
31,6507	0,238
31,7007	0,253
31,7508	0,268
31,8008	0,285
31,8509	0,301
31,9009	0,318
