Position, Messreihe #1
Zeit ( s )	Position ( m )
9,4450E-4	0,325
0,0259	0,325
0,0509	0,325
0,0759	0,325
0,1009	0,325
0,1259	0,325
0,1509	0,325
0,1759	0,325
0,2009	0,325
0,2259	0,325
0,2509	0,324
0,2759	0,324
0,3009	0,324
0,3259	0,324
0,3509	0,324
0,3759	0,324
0,4009	0,324
0,4259	0,324
0,4509	0,323
0,4759	0,323
0,5009	0,323
0,5259	0,323
0,5509	0,322
0,5759	0,322
0,6009	0,322
0,6259	0,322
0,6509	0,322
0,6759	0,321
0,7009	0,321
0,7259	0,321
0,7509	0,320
0,7759	0,320
0,8009	0,319
0,8259	0,319
0,8509	0,319
0,8759	0,318
0,9009	0,318
0,9259	0,317
0,9509	0,316
0,9759	0,316
1,0009	0,315
1,0259	0,314
1,0509	0,314
1,0759	0,313
1,1009	0,312
1,1259	0,311
1,1509	0,310
1,1759	0,309
1,2009	0,308
1,2259	0,307
1,2509	0,306
1,2759	0,305
1,3009	0,304
1,3259	0,303
1,3509	0,302
1,3759	0,301
1,4009	0,299
1,4259	0,298
1,4509	0,297
1,4759	0,296
1,5009	0,295
1,5259	0,294
1,5509	0,293
1,5758	0,291
1,6008	0,290
1,6258	0,289
1,6508	0,288
1,6758	0,287
1,7008	0,286
1,7258	0,286
1,7508	0,285
1,7758	0,284
1,8008	0,283
1,8258	0,283
1,8508	0,282
1,8758	0,282
1,9008	0,282
1,9258	0,281
1,9508	0,281
1,9758	0,281
2,0008	0,282
2,0258	0,282
2,0508	0,282
2,0758	0,283
2,1008	0,283
2,1258	0,284
2,1508	0,285
2,1758	0,286
2,2008	0,287
2,2258	0,288
2,2508	0,289
2,2758	0,291
2,3009	0,293
2,3259	0,294
2,3509	0,296
2,3759	0,298
2,4009	0,300
2,4259	0,302
2,4509	0,304
2,4759	0,306
2,5009	0,308
2,5259	0,311
2,5509	0,313
2,5759	0,315
2,6009	0,318
2,6259	0,320
2,6509	0,322
2,6759	0,325
2,7010	0,327
2,7260	0,330
2,7510	0,332
2,7760	0,335
2,8010	0,337
2,8260	0,339
2,8510	0,341
2,8760	0,343
2,9010	0,345
2,9260	0,347
2,9510	0,350
2,9760	0,352
3,0010	0,353
3,0260	0,354
3,0510	0,355
3,0760	0,356
3,1010	0,356
3,1260	0,357
3,1510	0,357
3,1760	0,357
3,2010	0,357
3,2260	0,357
3,2510	0,356
3,2760	0,355
3,3010	0,354
3,3260	0,353
3,3510	0,352
3,3760	0,350
3,4010	0,348
3,4260	0,346
3,4510	0,343
3,4760	0,340
3,5010	0,337
3,5260	0,335
3,5510	0,332
3,5760	0,329
3,6009	0,326
3,6259	0,323
3,6509	0,320
3,6759	0,316
3,7009	0,313
3,7259	0,309
3,7509	0,306
3,7759	0,302
3,8009	0,299
3,8259	0,295
3,8508	0,292
3,8758	0,288
3,9008	0,285
3,9258	0,281
3,9508	0,278
3,9758	0,275
4,0008	0,272
4,0258	0,269
4,0508	0,266
4,0758	0,263
4,1008	0,261
4,1258	0,259
4,1507	0,256
4,1757	0,255
4,2007	0,253
4,2257	0,251
4,2507	0,250
4,2757	0,249
4,3007	0,249
4,3257	0,248
4,3507	0,248
4,3757	0,248
4,4007	0,249
4,4257	0,250
4,4507	0,250
4,4757	0,252
4,5007	0,253
4,5257	0,255
4,5507	0,257
4,5758	0,259
4,6008	0,262
4,6258	0,265
4,6508	0,268
4,6758	0,271
4,7008	0,274
4,7258	0,278
4,7508	0,282
4,7758	0,286
4,8008	0,290
4,8259	0,294
4,8509	0,298
4,8759	0,303
4,9009	0,307
4,9259	0,312
4,9509	0,316
4,9759	0,321
5,0009	0,326
5,0260	0,330
5,0510	0,335
5,0760	0,339
5,1010	0,344
5,1260	0,348
5,1510	0,354
5,1760	0,358
5,2011	0,362
5,2261	0,365
5,2511	0,369
5,2761	0,372
5,3011	0,375
5,3261	0,377
5,3511	0,380
5,3761	0,382
5,4011	0,383
5,4261	0,385
5,4511	0,386
5,4761	0,386
5,5011	0,387
5,5261	0,387
5,5511	0,387
5,5761	0,386
5,6011	0,385
5,6261	0,384
5,6511	0,382
5,6761	0,380
5,7011	0,378
5,7261	0,376
5,7511	0,373
5,7761	0,369
5,8011	0,366
5,8261	0,362
5,8510	0,358
5,8760	0,354
5,9010	0,350
5,9260	0,343
5,9510	0,338
5,9760	0,333
6,0010	0,328
6,0259	0,323
6,0509	0,317
6,0759	0,312
6,1009	0,307
6,1259	0,301
6,1509	0,296
6,1758	0,290
6,2008	0,285
6,2258	0,280
6,2508	0,275
6,2758	0,270
6,3008	0,265
6,3258	0,260
6,3507	0,256
6,3757	0,251
6,4007	0,247
6,4257	0,243
6,4507	0,240
6,4757	0,237
6,5007	0,234
6,5257	0,231
6,5507	0,229
6,5757	0,227
6,6007	0,226
6,6257	0,225
6,6507	0,224
6,6756	0,223
6,7006	0,223
6,7257	0,224
6,7507	0,225
6,7757	0,226
6,8007	0,228
6,8257	0,229
6,8507	0,232
6,8757	0,234
6,9007	0,237
6,9257	0,241
6,9507	0,245
6,9757	0,249
7,0007	0,253
7,0257	0,257
7,0508	0,262
7,0758	0,267
7,1008	0,273
7,1258	0,278
7,1508	0,284
7,1758	0,289
7,2009	0,295
7,2259	0,301
7,2509	0,307
7,2759	0,313
7,3009	0,320
7,3259	0,326
7,3510	0,332
7,3760	0,338
7,4010	0,344
7,4260	0,351
7,4510	0,357
7,4761	0,362
7,5011	0,368
7,5261	0,372
7,5511	0,377
7,5761	0,382
7,6011	0,386
7,6261	0,389
7,6511	0,393
7,6762	0,396
7,7012	0,398
7,7262	0,400
7,7512	0,402
7,7762	0,404
7,8012	0,405
7,8262	0,405
7,8512	0,405
7,8762	0,405
7,9012	0,405
7,9262	0,404
7,9512	0,402
7,9762	0,400
8,0012	0,398
8,0262	0,396
8,0511	0,393
8,0761	0,389
8,1011	0,385
8,1261	0,381
8,1511	0,377
8,1761	0,372
8,2011	0,367
8,2261	0,362
8,2510	0,356
8,2760	0,350
8,3010	0,343
8,3260	0,336
8,3510	0,330
8,3759	0,323
8,4009	0,316
8,4259	0,310
8,4509	0,303
8,4759	0,297
8,5008	0,291
8,5258	0,284
8,5508	0,278
8,5758	0,272
8,6008	0,266
8,6258	0,260
8,6507	0,255
8,6757	0,249
8,7007	0,244
8,7257	0,239
8,7507	0,235
8,7757	0,231
8,8007	0,227
8,8257	0,224
8,8506	0,221
8,8756	0,218
8,9006	0,216
8,9256	0,214
8,9506	0,212
8,9756	0,212
9,0006	0,211
9,0256	0,211
9,0506	0,212
9,0756	0,212
9,1006	0,214
9,1256	0,215
9,1506	0,218
9,1756	0,220
9,2006	0,223
9,2257	0,227
9,2507	0,230
9,2757	0,234
9,3007	0,239
9,3257	0,244
9,3507	0,249
9,3757	0,254
9,4008	0,260
9,4258	0,266
9,4508	0,272
9,4758	0,278
9,5008	0,284
9,5258	0,291
9,5509	0,297
9,5759	0,304
9,6009	0,311
9,6259	0,317
9,6509	0,324
9,6760	0,331
9,7010	0,337
9,7260	0,344
9,7510	0,352
9,7760	0,358
9,8011	0,364
9,8261	0,370
9,8511	0,375
9,8761	0,380
9,9011	0,385
9,9261	0,389
9,9511	0,393
9,9762	0,397
10,0012	0,400
10,0262	0,403
10,0512	0,405
10,0762	0,407
10,1012	0,409
10,1262	0,410
10,1512	0,411
10,1762	0,411
10,2012	0,411
10,2262	0,410
10,2512	0,409
10,2762	0,407
10,3012	0,405
10,3262	0,403
10,3512	0,400
10,3762	0,397
10,4011	0,394
10,4261	0,390
10,4511	0,386
10,4761	0,381
10,5011	0,376
10,5261	0,371
10,5511	0,365
10,5760	0,359
10,6010	0,353
10,6260	0,346
10,6510	0,339
10,6760	0,332
10,7009	0,326
10,7259	0,319
10,7509	0,313
10,7759	0,306
10,8009	0,299
10,8259	0,293
10,8508	0,287
10,8758	0,280
10,9008	0,274
10,9258	0,268
10,9508	0,262
10,9757	0,257
11,0007	0,251
11,0257	0,246
11,0507	0,241
11,0757	0,237
11,1007	0,233
11,1257	0,229
11,1507	0,225
11,1756	0,223
11,2006	0,220
11,2256	0,218
11,2506	0,216
11,2756	0,214
11,3006	0,214
11,3256	0,213
11,3506	0,213
11,3756	0,213
11,4006	0,214
11,4256	0,216
11,4506	0,217
11,4756	0,219
11,5006	0,222
11,5257	0,225
11,5507	0,228
11,5757	0,232
11,6007	0,235
11,6257	0,240
11,6507	0,244
11,6757	0,249
11,7007	0,254
11,7258	0,260
11,7508	0,265
11,7758	0,271
11,8008	0,277
11,8258	0,283
11,8508	0,289
11,8759	0,295
11,9009	0,302
11,9259	0,308
11,9509	0,314
11,9759	0,321
12,0010	0,327
12,0260	0,333
12,0510	0,339
12,0760	0,347
12,1010	0,353
12,1260	0,358
12,1511	0,364
12,1761	0,369
12,2011	0,373
12,2261	0,378
12,2511	0,382
12,2761	0,385
12,3011	0,389
12,3261	0,392
12,3511	0,394
12,3762	0,397
12,4012	0,399
12,4262	0,400
12,4512	0,401
12,4762	0,402
12,5012	0,402
12,5262	0,402
12,5512	0,401
12,5762	0,400
12,6012	0,399
12,6262	0,397
12,6511	0,395
12,6761	0,393
12,7011	0,390
12,7261	0,387
12,7511	0,383
12,7761	0,380
12,8011	0,375
12,8261	0,371
12,8511	0,366
12,8761	0,361
12,9010	0,356
12,9260	0,349
12,9510	0,344
12,9760	0,338
13,0010	0,332
13,0259	0,326
13,0509	0,321
13,0759	0,315
13,1009	0,309
13,1259	0,304
13,1509	0,298
13,1758	0,292
13,2008	0,287
13,2258	0,281
13,2508	0,276
13,2758	0,271
13,3008	0,266
13,3258	0,262
13,3507	0,257
13,3757	0,253
