FFT von Position, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,0000	8,1115
0,0195	0,0269
0,0391	0,0274
0,0586	0,0330
0,0781	0,0282
0,0977	0,0286
0,1172	0,0289
0,1367	0,0285
0,1563	0,0271
0,1758	0,0290
0,1953	0,0291
0,2149	0,0298
0,2344	0,0315
0,2539	0,0324
0,2734	0,0328
0,2930	0,0362
0,3125	0,0390
0,3320	0,0451
0,3516	0,0612
0,3711	0,0868
0,3906	0,2137
0,4102	1,0000
0,4297	0,3062
0,4492	0,5969
0,4688	0,4607
0,4883	0,1509
0,5078	0,0955
0,5274	0,0691
0,5469	0,0579
0,5664	0,0505
0,5860	0,0456
0,6055	0,0430
0,6250	0,0409
0,6446	0,0386
0,6641	0,0367
0,6836	0,0367
0,7032	0,0344
0,7227	0,0355
0,7422	0,0354
0,7617	0,0347
0,7813	0,0338
0,8008	0,0362
0,8203	0,0271
0,8399	0,0289
0,8594	0,0243
0,8789	0,0349
0,8985	0,0328
0,9180	0,0307
0,9375	0,0324
0,9571	0,0319
0,9766	0,0304
0,9961	0,0310
1,0157	0,0306
1,0352	0,0307
1,0547	0,0308
1,0743	0,0315
1,0938	0,0309
1,1133	0,0311
1,1329	0,0303
1,1524	0,0310
1,1719	0,0289
1,1915	0,0298
1,2110	0,0304
1,2305	0,0309
1,2501	0,0307
1,2696	0,0358
1,2891	0,0304
1,3086	0,0305
1,3282	0,0290
1,3477	0,0296
1,3672	0,0290
1,3868	0,0297
1,4063	0,0304
1,4258	0,0309
1,4454	0,0296
1,4649	0,0302
1,4844	0,0295
1,5040	0,0291
1,5235	0,0291
1,5430	0,0302
1,5626	0,0293
1,5821	0,0306
1,6016	0,0305
1,6212	0,0304
1,6407	0,0289
1,6602	0,0292
1,6798	0,0296
1,6993	0,0295
1,7188	0,0293
1,7384	0,0296
1,7579	0,0295
1,7774	0,0303
1,7969	0,0301
1,8165	0,0299
1,8360	0,0281
1,8555	0,0296
1,8751	0,0291
1,8946	0,0294
1,9141	0,0294
1,9337	0,0303
1,9532	0,0292
1,9727	0,0293
1,9923	0,0293
2,0118	0,0292
2,0313	0,0285
2,0509	0,0296
2,0704	0,0300
2,0899	0,0293
2,1095	0,0290
2,1290	0,0277
2,1485	0,0301
2,1681	0,0297
2,1876	0,0302
2,2071	0,0293
2,2267	0,0288
2,2462	0,0304
2,2657	0,0296
2,2852	0,0298
2,3048	0,0294
2,3243	0,0298
2,3438	0,0292
2,3634	0,0294
2,3829	0,0296
2,4024	0,0297
2,4220	0,0297
2,4415	0,0295
2,4610	0,0297
2,4806	0,0298
2,5001	0,0292
2,5196	0,0297
2,5392	0,0311
2,5587	0,0294
2,5782	0,0298
2,5978	0,0282
2,6173	0,0293
2,6368	0,0292
2,6564	0,0286
2,6759	0,0294
2,6954	0,0292
2,7150	0,0292
2,7345	0,0291
2,7540	0,0291
2,7735	0,0289
2,7931	0,0295
2,8126	0,0292
2,8321	0,0290
2,8517	0,0294
2,8712	0,0291
2,8907	0,0292
2,9103	0,0292
2,9298	0,0288
2,9493	0,0290
2,9689	0,0292
2,9884	0,0287
3,0079	0,0300
3,0275	0,0293
3,0470	0,0299
3,0665	0,0300
3,0861	0,0295
3,1056	0,0290
3,1251	0,0290
3,1447	0,0291
3,1642	0,0297
3,1837	0,0292
3,2033	0,0292
3,2228	0,0296
3,2423	0,0292
3,2618	0,0289
3,2814	0,0296
3,3009	0,0285
3,3204	0,0294
3,3400	0,0300
3,3595	0,0297
3,3790	0,0294
3,3986	0,0292
3,4181	0,0290
3,4376	0,0290
3,4572	0,0291
3,4767	0,0287
3,4962	0,0288
3,5158	0,0293
3,5353	0,0297
3,5548	0,0299
3,5744	0,0290
3,5939	0,0295
3,6134	0,0291
3,6330	0,0289
3,6525	0,0293
3,6720	0,0298
3,6916	0,0294
3,7111	0,0296
3,7306	0,0296
3,7502	0,0294
3,7697	0,0284
3,7892	0,0286
3,8087	0,0297
3,8283	0,0295
3,8478	0,0295
3,8673	0,0288
3,8869	0,0294
3,9064	0,0291
3,9259	0,0291
3,9455	0,0290
3,9650	0,0283
3,9845	0,0294
4,0041	0,0289
4,0236	0,0293
4,0431	0,0291
4,0627	0,0297
4,0822	0,0290
4,1017	0,0286
4,1213	0,0289
4,1408	0,0291
4,1603	0,0290
4,1799	0,0293
4,1994	0,0295
4,2189	0,0293
4,2385	0,0289
4,2580	0,0288
4,2775	0,0298
4,2970	0,0289
4,3166	0,0298
4,3361	0,0296
4,3556	0,0295
4,3752	0,0296
4,3947	0,0292
4,4142	0,0296
4,4338	0,0293
4,4533	0,0294
4,4728	0,0287
4,4924	0,0292
4,5119	0,0295
4,5314	0,0298
4,5510	0,0297
4,5705	0,0290
4,5900	0,0295
4,6096	0,0291
4,6291	0,0290
4,6486	0,0294
4,6682	0,0293
4,6877	0,0289
4,7072	0,0295
4,7268	0,0288
4,7463	0,0290
4,7658	0,0286
4,7853	0,0289
4,8049	0,0297
4,8244	0,0295
4,8439	0,0293
4,8635	0,0293
4,8830	0,0294
4,9025	0,0294
4,9221	0,0295
4,9416	0,0290
4,9611	0,0290
4,9807	0,0294
