Position, Messreihe #3
Zeit ( s )	Position ( m )
9,8650E-4	0,339
0,1010	0,353
0,2011	0,362
0,3011	0,367
0,4011	0,365
0,5010	0,359
0,6010	0,348
0,7010	0,331
0,8009	0,313
0,9009	0,293
1,0008	0,274
1,1007	0,255
1,2007	0,240
1,3007	0,228
1,4006	0,221
1,5006	0,218
1,6006	0,221
1,7007	0,230
1,8007	0,242
1,9008	0,258
2,0008	0,276
2,1009	0,296
2,2009	0,314
2,3010	0,332
2,4010	0,348
2,5010	0,358
2,6011	0,363
2,7011	0,363
2,8010	0,358
2,9010	0,348
3,0010	0,333
3,1009	0,316
3,2009	0,299
3,3008	0,281
3,4008	0,263
3,5007	0,249
3,6007	0,237
3,7007	0,229
3,8007	0,226
3,9007	0,228
4,0007	0,234
4,1007	0,244
4,2007	0,257
4,3008	0,273
4,4008	0,289
4,5009	0,305
4,6009	0,321
4,7010	0,334
4,8010	0,344
4,9010	0,350
5,0010	0,351
5,1010	0,348
5,2010	0,341
5,3010	0,329
5,4009	0,316
5,5009	0,302
5,6008	0,288
5,7008	0,275
5,8008	0,263
5,9007	0,253
6,0007	0,247
6,1007	0,244
6,2007	0,244
6,3007	0,247
6,4007	0,254
6,5008	0,263
6,6008	0,273
6,7008	0,284
6,8009	0,296
6,9009	0,306
7,0009	0,315
7,1009	0,322
7,2009	0,326
7,3010	0,328
7,4010	0,327
7,5009	0,323
7,6009	0,318
7,7009	0,311
7,8009	0,303
7,9009	0,295
8,0008	0,287
8,1008	0,280
8,2008	0,274
8,3008	0,270
8,4008	0,267
8,5008	0,267
8,6008	0,268
8,7008	0,270
8,8008	0,273
8,9008	0,278
9,0008	0,282
9,1008	0,287
9,2008	0,291
9,3009	0,295
9,4009	0,298
9,5009	0,300
9,6009	0,302
9,7009	0,302
9,8009	0,302
9,9009	0,302
10,0009	0,301
10,1009	0,300
10,2009	0,299
10,3009	0,298
10,4009	0,297
10,5009	0,296
10,6009	0,295
10,7009	0,294
10,8009	0,293
10,9008	0,292
11,0008	0,290
11,1008	0,288
11,2008	0,286
11,3008	0,283
11,4008	0,281
11,5008	0,278
11,6008	0,276
11,7008	0,275
11,8008	0,274
11,9008	0,275
12,0008	0,277
12,1008	0,279
12,2008	0,283
12,3008	0,288
12,4009	0,294
12,5009	0,300
12,6009	0,306
12,7009	0,311
12,8009	0,316
12,9009	0,319
13,0009	0,320
13,1009	0,319
13,2009	0,316
13,3009	0,311
13,4009	0,304
13,5009	0,296
13,6008	0,287
13,7008	0,278
13,8008	0,269
13,9008	0,261
14,0007	0,255
14,1007	0,252
14,2007	0,251
14,3007	0,253
14,4007	0,257
14,5008	0,265
14,6008	0,275
14,7008	0,286
14,8009	0,298
14,9009	0,310
15,0009	0,321
15,1010	0,331
15,2010	0,340
15,3010	0,343
15,4010	0,343
15,5010	0,340
15,6010	0,331
15,7009	0,320
15,8009	0,307
15,9009	0,293
16,0008	0,279
16,1008	0,265
16,2007	0,252
16,3007	0,242
16,4007	0,236
16,5007	0,233
16,6007	0,234
16,7007	0,240
16,8007	0,250
16,9008	0,262
17,0008	0,277
17,1009	0,293
17,2009	0,310
17,3009	0,325
17,4010	0,341
17,5010	0,350
17,6010	0,356
17,7010	0,357
17,8010	0,354
17,9010	0,346
18,0010	0,333
18,1009	0,317
18,2009	0,300
18,3008	0,282
18,4008	0,265
18,5007	0,250
18,6007	0,237
18,7007	0,228
18,8007	0,224
18,9007	0,224
19,0007	0,230
19,1007	0,240
19,2007	0,254
19,3008	0,270
19,4008	0,288
19,5009	0,306
19,6009	0,324
19,7010	0,341
19,8010	0,352
19,9010	0,360
20,0011	0,362
20,1010	0,359
20,2010	0,352
20,3010	0,340
20,4009	0,323
20,5009	0,306
20,6008	0,288
20,7008	0,270
20,8007	0,254
20,9007	0,240
21,0007	0,230
21,1007	0,225
21,2007	0,224
21,3007	0,229
21,4007	0,238
21,5007	0,250
21,6008	0,266
21,7008	0,283
21,8009	0,300
21,9009	0,317
22,0010	0,333
22,1010	0,346
22,2010	0,353
22,3010	0,357
22,4010	0,355
22,5010	0,349
22,6010	0,340
22,7009	0,325
22,8009	0,309
22,9009	0,293
23,0008	0,277
23,1008	0,262
23,2007	0,250
23,3007	0,241
23,4007	0,235
23,5007	0,234
23,6007	0,237
23,7007	0,244
23,8007	0,253
23,9008	0,266
24,0008	0,279
24,1009	0,294
24,2009	0,307
24,3009	0,320
24,4010	0,330
24,5010	0,338
24,6010	0,342
24,7010	0,342
24,8010	0,338
24,9010	0,330
25,0009	0,320
25,1009	0,309
25,2009	0,297
25,3008	0,286
25,4008	0,275
25,5008	0,265
25,6008	0,258
25,7007	0,254
25,8007	0,252
25,9007	0,253
26,0007	0,257
26,1008	0,263
26,2008	0,270
26,3008	0,279
26,4008	0,288
26,5009	0,296
26,6009	0,304
26,7009	0,311
26,8009	0,316
26,9009	0,318
27,0009	0,319
27,1009	0,318
27,2009	0,315
27,3009	0,310
27,4009	0,305
27,5009	0,299
27,6009	0,293
27,7008	0,288
27,8008	0,283
27,9008	0,280
28,0008	0,277
28,1008	0,276
28,2008	0,275
28,3008	0,276
28,4008	0,277
28,5008	0,279
28,6008	0,282
28,7008	0,284
28,8008	0,287
28,9008	0,289
29,0008	0,291
29,1008	0,292
29,2009	0,293
29,3009	0,294
29,4009	0,295
29,5009	0,296
29,6009	0,296
29,7009	0,297
29,8009	0,298
29,9009	0,299
30,0009	0,300
30,1009	0,300
30,2009	0,301
30,3009	0,301
30,4009	0,300
