Position, Messreihe #1
Zeit ( s )	Position ( m )
3,5750E-4	0,123
0,0504	0,123
0,1004	0,123
0,1504	0,123
0,2004	0,123
0,2504	0,123
0,3004	0,123
0,3504	0,123
0,4004	0,123
0,4504	0,123
0,5004	0,124
0,5504	0,125
0,6004	0,125
0,6504	0,131
0,7004	0,142
0,7505	0,156
0,8005	0,172
0,8506	0,190
0,9006	0,211
0,9507	0,234
1,0008	0,258
1,0508	0,283
1,1009	0,308
1,1510	0,333
1,2011	0,361
1,2511	0,385
1,3012	0,407
1,3512	0,427
1,4013	0,447
1,4514	0,471
1,5014	0,481
1,5515	0,504
1,6015	0,518
1,6515	0,501
1,7015	0,499
1,7514	0,498
1,8014	0,493
1,8514	0,492
1,9014	0,477
1,9513	0,452
2,0013	0,431
2,0512	0,410
2,1011	0,389
2,1511	0,367
2,2010	0,340
2,2509	0,315
2,3008	0,290
2,3508	0,267
2,4007	0,244
2,4506	0,222
2,5006	0,201
2,5505	0,183
2,6005	0,168
2,6504	0,155
2,7004	0,144
2,7504	0,137
2,8004	0,134
2,8504	0,133
2,9004	0,136
2,9504	0,142
3,0004	0,151
3,0505	0,163
3,1005	0,178
3,1506	0,194
3,2006	0,213
3,2507	0,234
3,3007	0,255
3,3508	0,278
3,4009	0,300
3,4509	0,323
3,5010	0,347
3,5511	0,370
3,6011	0,390
3,6512	0,408
3,7012	0,425
3,7513	0,440
3,8013	0,454
3,8514	0,470
3,9014	0,477
3,9514	0,480
4,0014	0,487
4,0514	0,491
4,1014	0,476
4,1513	0,459
4,2013	0,445
4,2513	0,433
4,3012	0,418
4,3512	0,401
4,4011	0,383
4,4511	0,364
4,5010	0,342
4,5509	0,321
4,6009	0,301
4,6508	0,281
4,7008	0,262
4,7507	0,244
4,8007	0,228
4,8506	0,212
4,9006	0,199
4,9505	0,189
5,0005	0,181
5,0505	0,175
5,1005	0,171
5,1505	0,171
5,2005	0,173
5,2505	0,178
5,3005	0,185
5,3506	0,193
5,4006	0,204
5,4506	0,218
5,5007	0,232
5,5507	0,247
5,6008	0,263
5,6508	0,280
5,7009	0,297
5,7509	0,314
