FFT von Position, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,0000	5,1272
0,0781	0,0439
0,1562	0,0711
0,2343	0,1206
0,3124	0,2206
0,3905	1,0000
0,4685	0,2797
0,5466	0,7950
0,6247	0,2954
0,7028	0,2031
0,7809	0,1491
0,8590	0,1256
0,9371	0,1052
1,0152	0,0947
1,0933	0,0835
1,1714	0,0769
1,2495	0,0688
1,3275	0,0665
1,4056	0,0635
1,4837	0,0551
1,5618	0,0556
1,6399	0,0542
1,7180	0,0505
1,7961	0,0479
1,8742	0,0443
1,9523	0,0432
2,0304	0,0404
2,1084	0,0414
2,1865	0,0392
2,2646	0,0368
2,3427	0,0344
2,4208	0,0354
2,4989	0,0365
2,5770	0,0350
2,6551	0,0351
2,7332	0,0350
2,8113	0,0325
2,8894	0,0303
2,9674	0,0314
3,0455	0,0300
3,1236	0,0298
3,2017	0,0300
3,2798	0,0295
3,3579	0,0290
3,4360	0,0280
3,5141	0,0283
3,5922	0,0282
3,6703	0,0259
3,7484	0,0265
3,8264	0,0277
3,9045	0,0265
3,9826	0,0261
4,0607	0,0265
4,1388	0,0256
4,2169	0,0259
4,2950	0,0257
4,3731	0,0255
4,4512	0,0251
4,5293	0,0248
4,6073	0,0257
4,6854	0,0260
4,7635	0,0239
4,8416	0,0244
4,9197	0,0246
4,9978	0,0246
5,0759	0,0240
5,1540	0,0240
5,2321	0,0234
5,3102	0,0236
5,3883	0,0237
5,4663	0,0237
5,5444	0,0227
5,6225	0,0215
5,7006	0,0223
5,7787	0,0227
5,8568	0,0228
5,9349	0,0228
6,0130	0,0224
6,0911	0,0224
6,1692	0,0218
6,2473	0,0223
6,3253	0,0220
6,4034	0,0223
6,4815	0,0219
6,5596	0,0227
6,6377	0,0220
6,7158	0,0219
6,7939	0,0218
6,8720	0,0220
6,9501	0,0218
7,0282	0,0216
7,1062	0,0217
7,1843	0,0214
7,2624	0,0215
7,3405	0,0218
7,4186	0,0218
7,4967	0,0215
7,5748	0,0211
7,6529	0,0214
7,7310	0,0212
7,8091	0,0213
7,8872	0,0209
7,9652	0,0212
8,0433	0,0206
8,1214	0,0209
8,1995	0,0210
8,2776	0,0208
8,3557	0,0210
8,4338	0,0210
8,5119	0,0213
8,5900	0,0211
8,6681	0,0210
8,7462	0,0209
8,8242	0,0207
8,9023	0,0202
8,9804	0,0205
9,0585	0,0205
9,1366	0,0205
9,2147	0,0208
9,2928	0,0206
9,3709	0,0205
9,4490	0,0206
9,5271	0,0205
9,6051	0,0208
9,6832	0,0206
9,7613	0,0203
9,8394	0,0205
9,9175	0,0203
9,9956	0,0201
10,0737	0,0203
10,1518	0,0203
10,2299	0,0205
10,3080	0,0205
10,3861	0,0204
10,4641	0,0203
10,5422	0,0204
10,6203	0,0204
10,6984	0,0208
10,7765	0,0200
10,8546	0,0202
10,9327	0,0202
11,0108	0,0204
11,0889	0,0202
11,1670	0,0203
11,2451	0,0201
11,3231	0,0200
11,4012	0,0201
11,4793	0,0201
11,5574	0,0201
11,6355	0,0199
11,7136	0,0199
11,7917	0,0202
11,8698	0,0198
11,9479	0,0200
12,0260	0,0197
12,1040	0,0199
12,1821	0,0198
12,2602	0,0202
12,3383	0,0200
12,4164	0,0201
12,4945	0,0199
12,5726	0,0201
12,6507	0,0201
12,7288	0,0199
12,8069	0,0199
12,8850	0,0203
12,9630	0,0201
13,0411	0,0200
13,1192	0,0200
13,1973	0,0199
13,2754	0,0197
13,3535	0,0202
13,4316	0,0201
13,5097	0,0201
13,5878	0,0197
13,6659	0,0197
13,7440	0,0199
13,8220	0,0198
13,9001	0,0196
13,9782	0,0198
14,0563	0,0195
14,1344	0,0196
14,2125	0,0198
14,2906	0,0198
14,3687	0,0199
14,4468	0,0199
14,5249	0,0199
14,6029	0,0199
14,6810	0,0196
14,7591	0,0196
14,8372	0,0198
14,9153	0,0197
14,9934	0,0198
15,0715	0,0197
15,1496	0,0197
15,2277	0,0198
15,3058	0,0199
15,3839	0,0198
15,4619	0,0198
15,5400	0,0197
15,6181	0,0199
15,6962	0,0198
15,7743	0,0196
15,8524	0,0197
15,9305	0,0196
16,0086	0,0195
16,0867	0,0197
16,1648	0,0198
16,2429	0,0198
16,3209	0,0198
16,3990	0,0199
16,4771	0,0198
16,5552	0,0197
16,6333	0,0197
16,7114	0,0198
16,7895	0,0196
16,8676	0,0194
16,9457	0,0198
17,0238	0,0197
17,1019	0,0196
17,1799	0,0198
17,2580	0,0196
17,3361	0,0195
17,4142	0,0195
17,4923	0,0197
17,5704	0,0197
17,6485	0,0197
17,7266	0,0196
17,8047	0,0197
17,8828	0,0195
17,9608	0,0195
18,0389	0,0196
18,1170	0,0198
18,1951	0,0194
18,2732	0,0198
18,3513	0,0196
18,4294	0,0196
18,5075	0,0196
18,5856	0,0198
18,6637	0,0200
18,7418	0,0198
18,8198	0,0195
18,8979	0,0197
18,9760	0,0197
19,0541	0,0197
19,1322	0,0199
19,2103	0,0197
19,2884	0,0195
19,3665	0,0197
19,4446	0,0196
19,5227	0,0195
19,6008	0,0194
19,6788	0,0195
19,7569	0,0197
19,8350	0,0197
19,9131	0,0194
