Position, Messreihe #1
Zeit ( s )	Position ( m )
0,0010	0,352
0,0260	0,358
0,0511	0,364
0,0761	0,371
0,1011	0,377
0,1261	0,382
0,1511	0,387
0,1761	0,392
0,2012	0,397
0,2262	0,401
0,2512	0,405
0,2762	0,408
0,3012	0,411
0,3262	0,414
0,3512	0,416
0,3762	0,418
0,4012	0,420
0,4262	0,421
0,4512	0,421
0,4762	0,421
0,5012	0,421
0,5262	0,420
0,5512	0,419
0,5762	0,418
0,6012	0,416
0,6262	0,414
0,6512	0,412
0,6762	0,409
0,7012	0,406
0,7262	0,403
0,7512	0,399
0,7762	0,396
0,8011	0,392
0,8261	0,388
0,8511	0,384
0,8761	0,380
0,9011	0,375
0,9261	0,371
0,9511	0,365
0,9760	0,360
1,0010	0,356
1,0260	0,352
1,0510	0,348
1,0760	0,344
1,1010	0,340
1,1260	0,336
1,1510	0,333
1,1760	0,330
1,2010	0,327
1,2259	0,324
1,2509	0,322
1,2759	0,320
1,3009	0,318
1,3259	0,316
1,3509	0,315
1,3759	0,313
1,4009	0,313
1,4259	0,312
1,4509	0,311
1,4759	0,311
1,5009	0,311
1,5259	0,312
1,5509	0,312
1,5759	0,313
1,6009	0,314
1,6259	0,315
1,6509	0,316
1,6759	0,318
1,7009	0,319
1,7259	0,321
1,7509	0,323
1,7759	0,325
1,8009	0,326
1,8260	0,328
1,8510	0,330
1,8760	0,332
1,9010	0,334
1,9260	0,336
1,9510	0,337
1,9760	0,339
2,0010	0,341
2,0260	0,344
2,0510	0,346
2,0760	0,347
2,1010	0,348
2,1260	0,348
2,1510	0,349
2,1760	0,350
2,2010	0,350
2,2260	0,351
2,2510	0,351
2,2760	0,351
2,3010	0,350
2,3260	0,350
2,3510	0,349
2,3760	0,348
2,4010	0,347
2,4260	0,346
2,4510	0,345
2,4760	0,344
2,5010	0,341
2,5260	0,339
2,5510	0,338
2,5760	0,336
2,6010	0,335
2,6260	0,334
2,6510	0,332
2,6760	0,331
2,7010	0,329
2,7260	0,328
2,7510	0,327
2,7759	0,326
2,8009	0,325
2,8259	0,324
2,8509	0,324
2,8759	0,323
2,9009	0,323
2,9259	0,323
2,9509	0,323
2,9759	0,324
3,0009	0,324
3,0259	0,325
3,0509	0,326
3,0760	0,327
3,1010	0,329
3,1260	0,331
3,1510	0,333
3,1760	0,335
3,2010	0,337
3,2260	0,340
3,2510	0,342
3,2760	0,345
3,3010	0,348
3,3260	0,352
3,3510	0,355
3,3760	0,358
3,4011	0,362
3,4261	0,366
3,4511	0,371
3,4761	0,374
3,5011	0,378
3,5261	0,381
3,5511	0,385
3,5761	0,388
3,6011	0,391
3,6261	0,394
3,6512	0,397
3,6762	0,399
3,7012	0,401
3,7262	0,403
3,7512	0,405
3,7762	0,407
3,8012	0,408
3,8262	0,409
3,8512	0,409
3,8762	0,410
3,9012	0,409
3,9262	0,409
3,9512	0,408
3,9762	0,407
4,0012	0,405
4,0262	0,403
4,0512	0,401
4,0762	0,399
4,1011	0,396
4,1261	0,392
4,1511	0,388
4,1761	0,384
4,2011	0,380
4,2261	0,375
4,2511	0,370
4,2761	0,365
4,3010	0,360
4,3260	0,354
4,3510	0,348
4,3760	0,340
4,4010	0,334
4,4260	0,328
4,4509	0,322
4,4759	0,316
4,5009	0,310
4,5259	0,304
4,5509	0,298
4,5758	0,292
4,6008	0,287
4,6258	0,282
4,6508	0,277
4,6758	0,272
4,7008	0,268
4,7258	0,264
4,7508	0,260
4,7757	0,257
4,8007	0,254
4,8257	0,252
4,8507	0,250
4,8757	0,249
4,9007	0,248
4,9257	0,248
4,9507	0,248
4,9757	0,249
5,0007	0,250
5,0257	0,252
5,0507	0,254
5,0757	0,257
5,1008	0,260
5,1258	0,264
5,1508	0,268
5,1758	0,273
5,2008	0,279
5,2258	0,284
5,2508	0,290
5,2759	0,297
5,3009	0,304
5,3259	0,311
5,3509	0,318
5,3759	0,326
5,4010	0,333
5,4260	0,341
5,4510	0,349
5,4760	0,358
5,5011	0,368
5,5261	0,376
5,5511	0,385
5,5761	0,392
5,6012	0,399
5,6262	0,407
5,6512	0,414
5,6762	0,421
5,7012	0,427
5,7263	0,433
5,7513	0,439
5,7763	0,445
5,8013	0,450
5,8263	0,454
5,8513	0,458
5,8763	0,463
5,9014	0,466
5,9264	0,469
5,9514	0,471
5,9764	0,471
6,0014	0,472
6,0264	0,471
6,0514	0,470
6,0764	0,467
6,1014	0,465
6,1263	0,462
6,1513	0,458
6,1763	0,452
6,2013	0,447
6,2263	0,442
6,2513	0,436
6,2762	0,429
6,3012	0,422
6,3262	0,415
6,3512	0,407
6,3762	0,400
6,4011	0,391
6,4261	0,383
6,4511	0,374
6,4761	0,365
6,5010	0,355
6,5260	0,345
6,5510	0,335
6,5759	0,326
6,6009	0,317
6,6259	0,308
6,6509	0,299
6,6758	0,291
6,7008	0,283
6,7258	0,275
6,7508	0,267
6,7758	0,260
6,8007	0,253
6,8257	0,247
6,8507	0,241
6,8757	0,236
6,9007	0,231
6,9257	0,227
6,9507	0,224
6,9756	0,221
7,0006	0,219
7,0256	0,217
7,0506	0,216
7,0756	0,216
7,1006	0,217
7,1256	0,218
7,1506	0,220
7,1756	0,223
7,2007	0,226
7,2257	0,230
7,2507	0,234
7,2757	0,239
7,3007	0,245
7,3257	0,251
7,3507	0,257
7,3758	0,265
7,4008	0,272
7,4258	0,280
7,4508	0,288
7,4759	0,296
7,5009	0,305
7,5259	0,314
7,5509	0,323
7,5760	0,332
7,6010	0,342
7,6260	0,351
7,6511	0,362
7,6761	0,372
7,7011	0,380
7,7261	0,389
7,7512	0,397
7,7762	0,405
7,8012	0,413
7,8262	0,420
7,8512	0,427
7,8763	0,434
7,9013	0,440
7,9263	0,445
7,9513	0,450
7,9763	0,456
8,0013	0,461
8,0264	0,464
8,0514	0,467
8,0764	0,469
8,1014	0,470
8,1264	0,471
8,1514	0,471
8,1764	0,470
8,2014	0,469
8,2264	0,467
8,2514	0,464
8,2763	0,460
8,3013	0,455
8,3263	0,451
8,3513	0,446
8,3763	0,441
8,4013	0,435
8,4262	0,429
8,4512	0,423
8,4762	0,416
8,5012	0,408
8,5262	0,402
8,5511	0,394
8,5761	0,387
8,6011	0,379
8,6261	0,370
8,6510	0,360
8,6760	0,352
8,7010	0,344
8,7260	0,336
8,7510	0,328
8,7759	0,320
8,8009	0,313
8,8259	0,306
8,8509	0,299
8,8759	0,292
8,9008	0,286
8,9258	0,280
8,9508	0,275
8,9758	0,270
9,0008	0,265
9,0258	0,261
9,0507	0,258
9,0757	0,255
9,1007	0,252
9,1257	0,250
9,1507	0,249
9,1757	0,248
9,2007	0,248
9,2257	0,248
9,2507	0,248
9,2757	0,249
9,3007	0,251
9,3257	0,253
9,3507	0,256
9,3758	0,259
9,4008	0,262
9,4258	0,266
9,4508	0,270
9,4758	0,275
9,5008	0,280
9,5258	0,285
9,5508	0,290
9,5759	0,296
9,6009	0,302
9,6259	0,308
9,6509	0,313
9,6759	0,320
9,7009	0,326
9,7260	0,332
9,7510	0,338
9,7760	0,344
9,8010	0,352
9,8260	0,358
9,8511	0,363
9,8761	0,369
9,9011	0,374
9,9261	0,378
9,9511	0,383
9,9761	0,387
10,0011	0,391
10,0261	0,394
10,0512	0,398
10,0762	0,400
10,1012	0,403
10,1262	0,405
10,1512	0,407
10,1762	0,408
10,2012	0,409
10,2262	0,410
10,2512	0,410
10,2762	0,410
10,3012	0,409
10,3262	0,408
10,3512	0,407
10,3762	0,406
10,4012	0,404
10,4262	0,402
10,4512	0,400
10,4762	0,398
10,5011	0,395
10,5261	0,393
10,5511	0,390
10,5761	0,386
10,6011	0,383
10,6261	0,380
10,6511	0,376
10,6761	0,372
10,7011	0,367
10,7261	0,363
10,7510	0,359
10,7760	0,356
10,8010	0,353
10,8260	0,350
10,8510	0,346
10,8760	0,343
10,9010	0,340
10,9260	0,338
10,9510	0,335
10,9760	0,333
11,0010	0,331
11,0260	0,329
11,0510	0,327
11,0759	0,326
11,1009	0,325
